Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Inscripción provincia nombre	Inscripción provincia código	Sexo	Personas
2009	2	África	04	Resto de África	236	Sudáfrica	Zaragoza	50	Mujer	13,0
2009	2	África	04	Resto de África	237	Ruanda	Zaragoza	50	Mujer	2,0
2009	2	África	04	Resto de África	239	Senegal	Huesca	22	Hombre	1,0
2009	2	África	04	Resto de África	239	Senegal	Huesca	22	Mujer	1,0
2009	2	África	04	Resto de África	239	Senegal	Zaragoza	50	Hombre	6,0
2009	2	África	04	Resto de África	239	Senegal	Zaragoza	50	Mujer	2,0
2009	2	África	04	Resto de África	245	Tanzania	Zaragoza	50	Hombre	1,0
2009	2	África	04	Resto de África	245	Tanzania	Zaragoza	50	Mujer	2,0
2009	2	África	04	Resto de África	246	Chad	Zaragoza	50	Hombre	1,0
2009	2	África	04	Resto de África	246	Chad	Zaragoza	50	Mujer	1,0
2009	2	África	04	Resto de África	247	Togo	Huesca	22	Hombre	1,0
2009	2	África	04	Resto de África	249	Uganda	Zaragoza	50	Mujer	1,0
2009	2	África	04	Resto de África	250	Rep. Democrática del Congo	Zaragoza	50	Hombre	5,0
2009	2	África	04	Resto de África	252	Zimbabwe	Teruel	44	Hombre	1,0
2009	2	África	04	Resto de África	252	Zimbabwe	Zaragoza	50	Hombre	4,0
2009	2	África	04	Resto de África	252	Zimbabwe	Zaragoza	50	Mujer	2,0
2009	3	América	05	América del Norte	301	Canadá	Huesca	22	Hombre	15,0
2009	3	América	05	América del Norte	301	Canadá	Huesca	22	Mujer	10,0
2009	3	América	05	América del Norte	301	Canadá	Teruel	44	Hombre	57,0
2009	3	América	05	América del Norte	301	Canadá	Teruel	44	Mujer	58,0
2009	3	América	05	América del Norte	301	Canadá	Zaragoza	50	Hombre	104,0
2009	3	América	05	América del Norte	301	Canadá	Zaragoza	50	Mujer	68,0
2009	3	América	05	América del Norte	302	Estados Unidos de América	Huesca	22	Hombre	70,0
2009	3	América	05	América del Norte	302	Estados Unidos de América	Huesca	22	Mujer	94,0
2009	3	América	05	América del Norte	302	Estados Unidos de América	Teruel	44	Hombre	42,0
2009	3	América	05	América del Norte	302	Estados Unidos de América	Teruel	44	Mujer	45,0
2009	3	América	05	América del Norte	302	Estados Unidos de América	Zaragoza	50	Hombre	454,0
2009	3	América	05	América del Norte	302	Estados Unidos de América	Zaragoza	50	Mujer	782,0
2009	3	América	06	Resto de América	303	México	Huesca	22	Hombre	111,0
2009	3	América	06	Resto de América	303	México	Huesca	22	Mujer	111,0
2009	3	América	06	Resto de América	303	México	Teruel	44	Hombre	46,0
2009	3	América	06	Resto de América	303	México	Teruel	44	Mujer	36,0
2009	3	América	06	Resto de América	303	México	Zaragoza	50	Hombre	358,0
2009	3	América	06	Resto de América	303	México	Zaragoza	50	Mujer	338,0
2009	3	América	06	Resto de América	313	Belice	Zaragoza	50	Mujer	1,0
2009	3	América	06	Resto de América	314	Costa Rica	Huesca	22	Hombre	11,0
2009	3	América	06	Resto de América	314	Costa Rica	Huesca	22	Mujer	10,0
2009	3	América	06	Resto de América	314	Costa Rica	Teruel	44	Mujer	2,0
2009	3	América	06	Resto de América	314	Costa Rica	Zaragoza	50	Hombre	29,0
2009	3	América	06	Resto de América	314	Costa Rica	Zaragoza	50	Mujer	25,0
2009	3	América	06	Resto de América	315	Cuba	Huesca	22	Hombre	13,0
2009	3	América	06	Resto de América	315	Cuba	Huesca	22	Mujer	13,0
2009	3	América	06	Resto de América	315	Cuba	Teruel	44	Hombre	20,0
2009	3	América	06	Resto de América	315	Cuba	Teruel	44	Mujer	36,0
2009	3	América	06	Resto de América	315	Cuba	Zaragoza	50	Hombre	19,0
2009	3	América	06	Resto de América	315	Cuba	Zaragoza	50	Mujer	36,0
2009	3	América	06	Resto de América	317	El Salvador	Huesca	22	Hombre	1,0
2009	3	América	06	Resto de América	317	El Salvador	Teruel	44	Hombre	1,0
2009	3	América	06	Resto de América	317	El Salvador	Zaragoza	50	Hombre	3,0
2009	3	América	06	Resto de América	317	El Salvador	Zaragoza	50	Mujer	1,0
2009	3	América	06	Resto de América	319	Guatemala	Huesca	22	Hombre	7,0
2009	3	América	06	Resto de América	319	Guatemala	Huesca	22	Mujer	14,0
2009	3	América	06	Resto de América	319	Guatemala	Teruel	44	Hombre	4,0
2009	3	América	06	Resto de América	319	Guatemala	Zaragoza	50	Hombre	32,0
2009	3	América	06	Resto de América	319	Guatemala	Zaragoza	50	Mujer	26,0
2009	3	América	06	Resto de América	320	Haití	Teruel	44	Mujer	1,0
2009	3	América	06	Resto de América	321	Honduras	Huesca	22	Hombre	12,0
2009	3	América	06	Resto de América	321	Honduras	Huesca	22	Mujer	11,0
2009	3	América	06	Resto de América	321	Honduras	Teruel	44	Hombre	8,0
2009	3	América	06	Resto de América	321	Honduras	Teruel	44	Mujer	1,0
2009	3	América	06	Resto de América	321	Honduras	Zaragoza	50	Hombre	18,0
2009	3	América	06	Resto de América	321	Honduras	Zaragoza	50	Mujer	21,0
2009	3	América	06	Resto de América	322	Jamaica	Zaragoza	50	Mujer	1,0
2009	3	América	06	Resto de América	323	Nicaragua	Huesca	22	Hombre	4,0
2009	3	América	06	Resto de América	323	Nicaragua	Huesca	22	Mujer	2,0
2009	3	América	06	Resto de América	323	Nicaragua	Teruel	44	Hombre	1,0
2009	3	América	06	Resto de América	323	Nicaragua	Zaragoza	50	Hombre	7,0
2009	3	América	06	Resto de América	323	Nicaragua	Zaragoza	50	Mujer	8,0
2009	3	América	06	Resto de América	324	Panamá	Huesca	22	Hombre	6,0
2009	3	América	06	Resto de América	324	Panamá	Huesca	22	Mujer	12,0
2009	3	América	06	Resto de América	324	Panamá	Teruel	44	Hombre	14,0
2009	3	América	06	Resto de América	324	Panamá	Teruel	44	Mujer	10,0
2009	3	América	06	Resto de América	324	Panamá	Zaragoza	50	Hombre	25,0
2009	3	América	06	Resto de América	324	Panamá	Zaragoza	50	Mujer	45,0
2009	3	América	06	Resto de América	326	República Dominicana	Huesca	22	Hombre	9,0
2009	3	América	06	Resto de América	326	República Dominicana	Huesca	22	Mujer	5,0
2009	3	América	06	Resto de América	326	República Dominicana	Teruel	44	Hombre	4,0
2009	3	América	06	Resto de América	326	República Dominicana	Teruel	44	Mujer	8,0
2009	3	América	06	Resto de América	326	República Dominicana	Zaragoza	50	Hombre	53,0
2009	3	América	06	Resto de América	326	República Dominicana	Zaragoza	50	Mujer	54,0
2009	3	América	06	Resto de América	327	Trinidad y Tobago	Huesca	22	Mujer	1,0
2009	3	América	06	Resto de América	328	Santa Lucia	Zaragoza	50	Hombre	1,0
2009	3	América	06	Resto de América	328	Santa Lucia	Zaragoza	50	Mujer	1,0
2009	3	América	06	Resto de América	340	Argentina	Huesca	22	Hombre	402,0
2009	3	América	06	Resto de América	340	Argentina	Huesca	22	Mujer	480,0
2009	3	América	06	Resto de América	340	Argentina	Teruel	44	Hombre	318,0
2009	3	América	06	Resto de América	340	Argentina	Teruel	44	Mujer	400,0
2009	3	América	06	Resto de América	340	Argentina	Zaragoza	50	Hombre	871,0
2009	3	América	06	Resto de América	340	Argentina	Zaragoza	50	Mujer	1022,0
2009	3	América	06	Resto de América	341	Bolivia	Huesca	22	Hombre	6,0
2009	3	América	06	Resto de América	341	Bolivia	Huesca	22	Mujer	6,0
2009	3	América	06	Resto de América	341	Bolivia	Teruel	44	Hombre	7,0
2009	3	América	06	Resto de América	341	Bolivia	Teruel	44	Mujer	3,0
2009	3	América	06	Resto de América	341	Bolivia	Zaragoza	50	Hombre	46,0
2009	3	América	06	Resto de América	341	Bolivia	Zaragoza	50	Mujer	37,0
2009	3	América	06	Resto de América	342	Brasil	Huesca	22	Hombre	66,0
2009	3	América	06	Resto de América	342	Brasil	Huesca	22	Mujer	62,0
2009	3	América	06	Resto de América	342	Brasil	Teruel	44	Hombre	105,0
2009	3	América	06	Resto de América	342	Brasil	Teruel	44	Mujer	100,0
2009	3	América	06	Resto de América	342	Brasil	Zaragoza	50	Hombre	520,0
2009	3	América	06	Resto de América	342	Brasil	Zaragoza	50	Mujer	520,0
2009	3	América	06	Resto de América	343	Colombia	Huesca	22	Hombre	22,0
2009	3	América	06	Resto de América	343	Colombia	Huesca	22	Mujer	27,0
2009	3	América	06	Resto de América	343	Colombia	Teruel	44	Hombre	12,0
2009	3	América	06	Resto de América	343	Colombia	Teruel	44	Mujer	6,0
2009	3	América	06	Resto de América	343	Colombia	Zaragoza	50	Hombre	70,0
2009	3	América	06	Resto de América	343	Colombia	Zaragoza	50	Mujer	86,0
2009	3	América	06	Resto de América	344	Chile	Huesca	22	Hombre	116,0
2009	3	América	06	Resto de América	344	Chile	Huesca	22	Mujer	138,0
2009	3	América	06	Resto de América	344	Chile	Teruel	44	Hombre	50,0
2009	3	América	06	Resto de América	344	Chile	Teruel	44	Mujer	59,0
2009	3	América	06	Resto de América	344	Chile	Zaragoza	50	Hombre	213,0
2009	3	América	06	Resto de América	344	Chile	Zaragoza	50	Mujer	212,0
2009	3	América	06	Resto de América	345	Ecuador	Huesca	22	Hombre	16,0
2009	3	América	06	Resto de América	345	Ecuador	Huesca	22	Mujer	16,0
2009	3	América	06	Resto de América	345	Ecuador	Teruel	44	Hombre	17,0
