Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Código	Municipio
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50163	María de Huerva
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50182	Muela (La)
2019,0	3	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50251	Tarazona
2019,0	6	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50252	Tauste
2019,0	3	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50272	Utebo
2019,0	66	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50297	Zaragoza
2019,0	2	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50298	Zuera
2019,0	43	9	Ocupaciones elementales	Hombres	22048	Barbastro
2019,0	50	9	Ocupaciones elementales	Hombres	22061	Binéfar
2019,0	93	9	Ocupaciones elementales	Hombres	22112	Fraga
2019,0	143	9	Ocupaciones elementales	Hombres	22125	Huesca
2019,0	16	9	Ocupaciones elementales	Hombres	22130	Jaca
2019,0	74	9	Ocupaciones elementales	Hombres	22158	Monzón
2019,0	13	9	Ocupaciones elementales	Hombres	22199	Sabiñánigo
2019,0	24	9	Ocupaciones elementales	Hombres	44013	Alcañiz
2019,0	4	9	Ocupaciones elementales	Hombres	44025	Andorra
2019,0	118	9	Ocupaciones elementales	Hombres	44216	Teruel
2019,0	25	9	Ocupaciones elementales	Hombres	50008	Alagón
2019,0	28	9	Ocupaciones elementales	Hombres	50025	Almunia de Doña Godina (La)
2019,0	26	9	Ocupaciones elementales	Hombres	50067	Calatayud
2019,0	38	9	Ocupaciones elementales	Hombres	50074	Caspe
2019,0	38	9	Ocupaciones elementales	Hombres	50089	Cuarte de Huerva
2019,0	81	9	Ocupaciones elementales	Hombres	50095	Ejea de los Caballeros
2019,0	6	9	Ocupaciones elementales	Hombres	50163	María de Huerva
2019,0	70	9	Ocupaciones elementales	Hombres	50182	Muela (La)
2019,0	37	9	Ocupaciones elementales	Hombres	50219	Puebla de Alfindén (La)
2019,0	37	9	Ocupaciones elementales	Hombres	50251	Tarazona
2019,0	23	9	Ocupaciones elementales	Hombres	50252	Tauste
2019,0	50	9	Ocupaciones elementales	Hombres	50272	Utebo
2019,0	1031	9	Ocupaciones elementales	Hombres	50297	Zaragoza
2019,0	65	9	Ocupaciones elementales	Hombres	50298	Zuera
2019,0	10	9	Ocupaciones elementales	Mujeres	22048	Barbastro
2019,0	17	9	Ocupaciones elementales	Mujeres	22061	Binéfar
2019,0	32	9	Ocupaciones elementales	Mujeres	22112	Fraga
2019,0	64	9	Ocupaciones elementales	Mujeres	22125	Huesca
2019,0	12	9	Ocupaciones elementales	Mujeres	22130	Jaca
