Mes y año	Mes (código)	Mes nombre	Año	Comarca código	Comarca nombre	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	1	180	180
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	152	0	0
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	14	459	32,78571428571428571428571428571428571429
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	65	0	0
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	14	944	67,42857142857142857142857142857142857143
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	284	32496	114,422535211267605633802816901408450704
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	146	14748	101,013698630136986301369863013698630137
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	7	0	0
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	2	2	1
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	24	0	0
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	16	537	33,5625
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	2	2180	1090
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	1	1065	1065
