Municipio código	Municipio nombre	Municipio montaña	Municipio zona desfavorecida	Municipio superficie, medida
44183	Pitarque	Sistema Ibérico	No es zona desfavorecida	54,35
44184	Plou	No es zona montañosa	Zona desfavorecida	17,21
44185	Pobo (El)	Sistema Ibérico	No es zona desfavorecida	63,6
44187	Portellada (La)	No es zona montañosa	Zona desfavorecida	21,37
44189	Pozondón	Sistema Ibérico	No es zona desfavorecida	67,64
44190	Pozuel del Campo	Sistema Ibérico	No es zona desfavorecida	27,85
44191	Puebla de Híjar (La)	No es zona montañosa	Zona desfavorecida	60,78
44192	Puebla de Valverde (La)	Sistema Ibérico	No es zona desfavorecida	282,78
44193	Puertomingalvo	Sistema Ibérico	No es zona desfavorecida	103,62
44194	Ráfales	Sistema Ibérico	No es zona desfavorecida	35,61
44195	Rillo	Sistema Ibérico	No es zona desfavorecida	53,31
44196	Riodeva	Sistema Ibérico	No es zona desfavorecida	34,34
44197	Ródenas	Sistema Ibérico	No es zona desfavorecida	44,26
44198	Royuela	Sistema Ibérico	No es zona desfavorecida	32,5
44199	Rubiales	Sistema Ibérico	No es zona desfavorecida	27,42
44200	Rubielos de la Cérida	Sistema Ibérico	No es zona desfavorecida	66,9
44201	Rubielos de Mora	Sistema Ibérico	No es zona desfavorecida	63,72
44203	Salcedillo	Sistema Ibérico	No es zona desfavorecida	16,89
44204	Saldón	Sistema Ibérico	No es zona desfavorecida	28,37
44205	Samper de Calanda	No es zona montañosa	Zona desfavorecida	142,8
44206	San Agustín	Sistema Ibérico	No es zona desfavorecida	56,57
44207	San Martín del Río	Sistema Ibérico	No es zona desfavorecida	16,58
44208	Santa Cruz de Nogueras	Sistema Ibérico	No es zona desfavorecida	15,18
44209	Santa Eulalia	No es zona montañosa	Zona desfavorecida	80,97
44210	Sarrión	Sistema Ibérico	No es zona desfavorecida	140,44
44211	Segura de los Baños	Sistema Ibérico	No es zona desfavorecida	54,15
44212	Seno	Sistema Ibérico	No es zona desfavorecida	17,85
44213	Singra	No es zona montañosa	Zona desfavorecida	36,72
44215	Terriente	Sistema Ibérico	No es zona desfavorecida	47,98
44216	Teruel	No es zona montañosa	Zona desfavorecida	440,41
44217	Toril y Masegoso	Sistema Ibérico	No es zona desfavorecida	30,67
44218	Tormón	Sistema Ibérico	No es zona desfavorecida	29,34
44219	Tornos	No es zona montañosa	Zona desfavorecida	48,95
44220	Torralba de los Sisones	Sistema Ibérico	No es zona desfavorecida	44,8
44221	Torrecilla de Alcañiz	No es zona montañosa	Zona desfavorecida	26,76
44222	Torrecilla del Rebollar	Sistema Ibérico	No es zona desfavorecida	63,45
44223	Torre de Arcas	Sistema Ibérico	No es zona desfavorecida	34,28
44224	Torre de las Arcas	Sistema Ibérico	No es zona desfavorecida	37,17
44225	Torre del Compte	No es zona montañosa	Zona desfavorecida	19,46
44226	Torrelacárcel	No es zona montañosa	Zona desfavorecida	35,54
44227	Torre los Negros	Sistema Ibérico	No es zona desfavorecida	29,15
44228	Torremocha de Jiloca	No es zona montañosa	Zona desfavorecida	33,94
44229	Torres de Albarracín	Sistema Ibérico	No es zona desfavorecida	28,31
44230	Torrevelilla	Sistema Ibérico	No es zona desfavorecida	33,44
44231	Torrijas	Sistema Ibérico	No es zona desfavorecida	57,34
44232	Torrijo del Campo	No es zona montañosa	Zona desfavorecida	44,04
44234	Tramacastiel	Sistema Ibérico	No es zona desfavorecida	47,29
44235	Tramacastilla	Sistema Ibérico	No es zona desfavorecida	24,81
44236	Tronchón	Sistema Ibérico	No es zona desfavorecida	57,11
44237	Urrea de Gaén	No es zona montañosa	Zona desfavorecida	41,12
44238	Utrillas	Sistema Ibérico	No es zona desfavorecida	39,82
44239	Valacloche	Sistema Ibérico	No es zona desfavorecida	15,02
44240	Valbona	Sistema Ibérico	No es zona desfavorecida	40,72
44241	Valdealgorfa	No es zona montañosa	Zona desfavorecida	46,93
44243	Valdecuenca	Sistema Ibérico	No es zona desfavorecida	18,64
