Año	Comarca código	Comarca nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2012	16	Valdejalón	9879,0	144847,0	132674,0	891212,0	890474,0
2012	17	D.C. Zaragoza	23708,0	170832,0	167963,0	1089177,0	1015119,0
2012	18	Ribera Baja del Ebro	6131,0	75986,0	71589,0	452420,0	452278,0
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	33360,0	67238,0	65195,0	481005,0	480874,0
2012	20	Comunidad de Calatayud	32840,0	105291,0	99412,0	578946,0	575774,0
2012	21	Campo de Cariñena	6604,0	47884,0	47005,0	362867,0	362823,0
2012	22	Campo de Belchite	7519,0	38480,0	35860,0	246887,0	246834,0
2012	23	Bajo Martín	7947,0	31302,0	31302,0	221772,0	212902,0
2012	24	Campo de Daroca	10342,0	38324,0	36148,0	179814,0	179683,0
2012	25	Jiloca	23337,0	60038,0	60038,0	376496,0	361438,0
2012	26	Cuencas Mineras	13718,0	33211,0	33211,0	222984,0	214065,0
2012	27	Andorra-Sierra de Arcos	8408,0	27032,0	27032,0	189772,0	182181,0
2012	28	Bajo Aragón	17027,0	65101,0	65101,0	536333,0	514881,0
2012	29	Comunidad de Teruel	26787,0	83129,0	83129,0	517796,0	497084,0
2012	30	Maestrazgo	7659,0	24544,0	24544,0	161668,0	155200,0
2012	31	Sierra de Albarracín	11511,0	47748,0	47748,0	273076,0	262155,0
2012	32	Gúdar-Javalambre	18802,0	51686,0	51686,0	346422,0	332569,0
2012	33	Matarraña / Matarranya	13261,0	34145,0	34145,0	170364,0	163549,0
2013	01	La Jacetania	4799,0	76819,0	65687,0	375451,0	343380,0
2013	02	Alto Gállego	2662,0	31620,0	25275,0	165357,0	148203,0
2013	03	Sobrarbe	4748,0	45766,0	37139,0	267709,0	250802,0
2013	04	La Ribagorza	8584,0	54995,0	49241,0	307388,0	278915,0
2013	05	Cinco Villas	13466,0	308535,0	283257,0	1859767,0	1853079,0
2013	06	Hoya de Huesca / Plana de Uesca	14019,0	168512,0	165604,0	1093688,0	1051670,0
2013	07	Somontano de Barbastro	10368,0	79368,0	78859,0	586855,0	571187,0
2013	08	Cinca Medio	7057,0	111057,0	110584,0	834784,0	822222,0
2013	09	La Litera / La Llitera	8764,0	164551,0	164039,0	1260698,0	1236889,0
2013	10	Los Monegros	12405,0	248741,0	248254,0	1844381,0	1786885,0
2013	11	Bajo Cinca / Baix Cinca	9856,0	239950,0	239129,0	1667646,0	1597594,0
2013	12	Tarazona y el Moncayo	9773,0	33836,0	32800,0	235937,0	234227,0
