Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
2020	50	50125	Ibdes	Extranjeros	01	UE-28	Europa	Hombres	9
2020	50	50125	Ibdes	Extranjeros	03	Magreb	África	Hombres	5
2020	50	50125	Ibdes	Extranjeros	06	Resto de América	América	Hombres	1
2020	50	50126	Illueca	Españoles	01	UE-28	Europa	Hombres	1245
2020	50	50126	Illueca	Extranjeros	01	UE-28	Europa	Hombres	133
2020	50	50126	Illueca	Extranjeros	02	Resto de Europa	Europa	Hombres	2
2020	50	50126	Illueca	Extranjeros	03	Magreb	África	Hombres	15
2020	50	50126	Illueca	Extranjeros	04	Resto de África	África	Hombres	1
2020	50	50126	Illueca	Extranjeros	05	América del Norte	América	Hombres	1
2020	50	50126	Illueca	Extranjeros	06	Resto de América	América	Hombres	4
2020	50	50126	Illueca	Extranjeros	07	Asia	Asia	Hombres	2
2020	50	50128	Isuerre	Españoles	01	UE-28	Europa	Hombres	15
2020	50	50128	Isuerre	Extranjeros	01	UE-28	Europa	Hombres	1
2020	50	50129	Jaraba	Españoles	01	UE-28	Europa	Hombres	144
2020	50	50129	Jaraba	Extranjeros	01	UE-28	Europa	Hombres	8
2020	50	50129	Jaraba	Extranjeros	03	Magreb	África	Hombres	1
2020	50	50129	Jaraba	Extranjeros	06	Resto de América	América	Hombres	2
2020	50	50130	Jarque de Moncayo	Españoles	01	UE-28	Europa	Hombres	207
2020	50	50130	Jarque de Moncayo	Extranjeros	01	UE-28	Europa	Hombres	6
2020	50	50130	Jarque de Moncayo	Extranjeros	02	Resto de Europa	Europa	Hombres	1
2020	50	50130	Jarque de Moncayo	Extranjeros	03	Magreb	África	Hombres	6
2020	50	50130	Jarque de Moncayo	Extranjeros	06	Resto de América	América	Hombres	1
2020	50	50131	Jaulín	Españoles	01	UE-28	Europa	Hombres	120
2020	50	50131	Jaulín	Extranjeros	01	UE-28	Europa	Hombres	4
2020	50	50131	Jaulín	Extranjeros	03	Magreb	África	Hombres	3
2020	50	50131	Jaulín	Extranjeros	04	Resto de África	África	Hombres	1
2020	50	50131	Jaulín	Extranjeros	06	Resto de América	América	Hombres	1
2020	50	50132	Joyosa (La)	Españoles	01	UE-28	Europa	Hombres	526
2020	50	50132	Joyosa (La)	Extranjeros	01	UE-28	Europa	Hombres	23
