Año	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2013,0	11	Bajo Cinca / Baix Cinca	2	Leves	1	09	Especial Minería del Carbón
2013,0	12	Tarazona y el Moncayo	71	Leves	1	01	General
2013,0	12	Tarazona y el Moncayo	5	Leves	1	05	Trabajadores Autónomos
2013,0	13	Campo de Borja	139	Leves	1	01	General
2013,0	13	Campo de Borja	8	Leves	1	05	Trabajadores Autónomos
2013,0	14	Aranda	23	Leves	1	01	General
2013,0	14	Aranda	3	Leves	1	05	Trabajadores Autónomos
2013,0	15	Ribera Alta del Ebro	322	Leves	1	01	General
2013,0	15	Ribera Alta del Ebro	5	Leves	1	05	Trabajadores Autónomos
2013,0	16	Valdejalón	345	Leves	1	01	General
2013,0	16	Valdejalón	4	Leves	1	05	Trabajadores Autónomos
2013,0	17	D.C. Zaragoza	5790	Leves	1	01	General
2013,0	17	D.C. Zaragoza	120	Leves	1	05	Trabajadores Autónomos
2013,0	18	Ribera Baja del Ebro	85	Leves	1	01	General
2013,0	18	Ribera Baja del Ebro	1	Leves	1	05	Trabajadores Autónomos
2013,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	108	Leves	1	01	General
2013,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Leves	1	05	Trabajadores Autónomos
2013,0	20	Comunidad de Calatayud	218	Leves	1	01	General
2013,0	20	Comunidad de Calatayud	21	Leves	1	05	Trabajadores Autónomos
2013,0	21	Campo de Cariñena	90	Leves	1	01	General
2013,0	21	Campo de Cariñena	6	Leves	1	05	Trabajadores Autónomos
2013,0	22	Campo de Belchite	19	Leves	1	01	General
2013,0	22	Campo de Belchite	1	Leves	1	05	Trabajadores Autónomos
2013,0	23	Bajo Martín	42	Leves	1	01	General
2013,0	23	Bajo Martín	4	Leves	1	05	Trabajadores Autónomos
2013,0	24	Campo de Daroca	51	Leves	1	01	General
2013,0	24	Campo de Daroca	4	Leves	1	05	Trabajadores Autónomos
2013,0	25	Jiloca	70	Leves	1	01	General
2013,0	25	Jiloca	9	Leves	1	05	Trabajadores Autónomos
2013,0	26	Cuencas Mineras	87	Leves	1	01	General
2013,0	26	Cuencas Mineras	4	Leves	1	05	Trabajadores Autónomos
2013,0	27	Andorra-Sierra de Arcos	48	Leves	1	01	General
2013,0	27	Andorra-Sierra de Arcos	2	Leves	1	05	Trabajadores Autónomos
2013,0	27	Andorra-Sierra de Arcos	53	Leves	1	09	Especial Minería del Carbón
2013,0	28	Bajo Aragón	180	Leves	1	01	General
2013,0	28	Bajo Aragón	20	Leves	1	05	Trabajadores Autónomos
2013,0	29	Comunidad de Teruel	412	Leves	1	01	General
2013,0	29	Comunidad de Teruel	18	Leves	1	05	Trabajadores Autónomos
2013,0	30	Maestrazgo	9	Leves	1	01	General
2013,0	30	Maestrazgo	2	Leves	1	05	Trabajadores Autónomos
2013,0	31	Sierra de Albarracín	11	Leves	1	01	General
2013,0	31	Sierra de Albarracín	4	Leves	1	05	Trabajadores Autónomos
2013,0	32	Gúdar-Javalambre	43	Leves	1	01	General
2013,0	32	Gúdar-Javalambre	4	Leves	1	05	Trabajadores Autónomos
2013,0	33	Matarraña / Matarranya	32	Leves	1	01	General
2013,0	33	Matarraña / Matarranya	8	Leves	1	05	Trabajadores Autónomos
2013,0	NC	Municipio del centro de trabajo fuera de Aragón	93	Leves	1	01	General
2012,0	01	La Jacetania	109	Leves	1	01	General
2012,0	01	La Jacetania	5	Leves	1	05	Trabajadores Autónomos
2012,0	01	La Jacetania	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	02	Alto Gállego	91	Leves	1	01	General
2012,0	02	Alto Gállego	5	Leves	1	05	Trabajadores Autónomos
2012,0	02	Alto Gállego	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	03	Sobrarbe	36	Leves	1	01	General
2012,0	03	Sobrarbe	2	Leves	1	05	Trabajadores Autónomos
2012,0	04	La Ribagorza	81	Leves	1	01	General
2012,0	04	La Ribagorza	8	Leves	1	05	Trabajadores Autónomos
2012,0	04	La Ribagorza	2	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	05	Cinco Villas	242	Leves	1	01	General
2012,0	05	Cinco Villas	9	Leves	1	05	Trabajadores Autónomos
2012,0	05	Cinco Villas	10	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	06	Hoya de Huesca / Plana de Uesca	532	Leves	1	01	General
2012,0	06	Hoya de Huesca / Plana de Uesca	11	Leves	1	05	Trabajadores Autónomos
2012,0	06	Hoya de Huesca / Plana de Uesca	2	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	07	Somontano de Barbastro	151	Leves	1	01	General
2012,0	07	Somontano de Barbastro	14	Leves	1	05	Trabajadores Autónomos
2012,0	07	Somontano de Barbastro	1	Leves	1	07	Especial Agrario Cuenta Propia
2012,0	08	Cinca Medio	276	Leves	1	01	General
2012,0	08	Cinca Medio	13	Leves	1	05	Trabajadores Autónomos
2012,0	08	Cinca Medio	5	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	09	La Litera / La Llitera	166	Leves	1	01	General
2012,0	09	La Litera / La Llitera	8	Leves	1	05	Trabajadores Autónomos
2012,0	09	La Litera / La Llitera	3	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	10	Los Monegros	94	Leves	1	01	General
2012,0	10	Los Monegros	7	Leves	1	05	Trabajadores Autónomos
2012,0	10	Los Monegros	4	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	10	Los Monegros	1	Leves	1	07	Especial Agrario Cuenta Propia
2012,0	11	Bajo Cinca / Baix Cinca	268	Leves	1	01	General
2012,0	11	Bajo Cinca / Baix Cinca	5	Leves	1	05	Trabajadores Autónomos
2012,0	11	Bajo Cinca / Baix Cinca	17	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	11	Bajo Cinca / Baix Cinca	2	Leves	1	07	Especial Agrario Cuenta Propia
2012,0	11	Bajo Cinca / Baix Cinca	3	Leves	1	09	Especial Minería del Carbón
2012,0	12	Tarazona y el Moncayo	100	Leves	1	01	General
2012,0	12	Tarazona y el Moncayo	4	Leves	1	05	Trabajadores Autónomos
2012,0	13	Campo de Borja	146	Leves	1	01	General
