Mes y año	Comarca código	Comarca nombre	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Julio 2021	15	Ribera Alta del Ebro	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	18
Julio 2021	15	Ribera Alta del Ebro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	19
Julio 2021	15	Ribera Alta del Ebro	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	829
Julio 2021	15	Ribera Alta del Ebro	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	84
Julio 2021	15	Ribera Alta del Ebro	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	14
Julio 2021	15	Ribera Alta del Ebro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	61
Julio 2021	16	Valdejalón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	502
Julio 2021	16	Valdejalón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	149
Julio 2021	16	Valdejalón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	17
Julio 2021	16	Valdejalón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	79
Julio 2021	16	Valdejalón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	768
Julio 2021	16	Valdejalón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	201
Julio 2021	16	Valdejalón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	19
Julio 2021	16	Valdejalón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	125
Julio 2021	17	Central	Españoles	ESPAÑA	Españoles	Españoles	Hombres	14317
Julio 2021	17	Central	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	1147
Julio 2021	17	Central	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	202
Julio 2021	17	Central	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	23
