Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Edad (grandes grupos)	Sexo	Personas
1998	22	22131	Jasa	65 y más	Mujeres	18
1998	22	22133	Labuerda	0 a 15	Mujeres	10
1998	22	22133	Labuerda	16 a 64	Mujeres	37
1998	22	22133	Labuerda	65 y más	Mujeres	31
1998	22	22135	Laluenga	0 a 15	Mujeres	9
1998	22	22135	Laluenga	16 a 64	Mujeres	74
1998	22	22135	Laluenga	65 y más	Mujeres	44
1998	22	22136	Lalueza	0 a 15	Mujeres	53
1998	22	22136	Lalueza	16 a 64	Mujeres	341
1998	22	22136	Lalueza	65 y más	Mujeres	183
1998	22	22137	Lanaja	0 a 15	Mujeres	97
1998	22	22137	Lanaja	16 a 64	Mujeres	433
1998	22	22137	Lanaja	65 y más	Mujeres	236
1998	22	22139	Laperdiguera	0 a 15	Mujeres	4
1998	22	22139	Laperdiguera	16 a 64	Mujeres	28
1998	22	22139	Laperdiguera	65 y más	Mujeres	19
1998	22	22141	Lascellas-Ponzano	0 a 15	Mujeres	7
1998	22	22141	Lascellas-Ponzano	16 a 64	Mujeres	39
1998	22	22141	Lascellas-Ponzano	65 y más	Mujeres	34
1998	22	22142	Lascuarre	0 a 15	Mujeres	5
1998	22	22142	Lascuarre	16 a 64	Mujeres	45
1998	22	22142	Lascuarre	65 y más	Mujeres	29
1998	22	22143	Laspaúles	0 a 15	Mujeres	8
1998	22	22143	Laspaúles	16 a 64	Mujeres	84
1998	22	22143	Laspaúles	65 y más	Mujeres	36
1998	22	22144	Laspuña	0 a 15	Mujeres	15
1998	22	22144	Laspuña	16 a 64	Mujeres	74
1998	22	22144	Laspuña	65 y más	Mujeres	36
1998	22	22149	Loarre	0 a 15	Mujeres	12
1998	22	22149	Loarre	16 a 64	Mujeres	109
1998	22	22149	Loarre	65 y más	Mujeres	64
1998	22	22150	Loporzano	0 a 15	Mujeres	30
1998	22	22150	Loporzano	16 a 64	Mujeres	151
1998	22	22150	Loporzano	65 y más	Mujeres	72
1998	22	22151	Loscorrales	0 a 15	Mujeres	3
1998	22	22151	Loscorrales	16 a 64	Mujeres	30
1998	22	22151	Loscorrales	65 y más	Mujeres	28
1998	22	22155	Monesma y Cajigar	0 a 15	Mujeres	5
1998	22	22155	Monesma y Cajigar	16 a 64	Mujeres	29
1998	22	22155	Monesma y Cajigar	65 y más	Mujeres	16
1998	22	22156	Monflorite-Lascasas	0 a 15	Mujeres	9
1998	22	22156	Monflorite-Lascasas	16 a 64	Mujeres	51
1998	22	22156	Monflorite-Lascasas	65 y más	Mujeres	27
1998	22	22157	Montanuy	0 a 15	Mujeres	10
1998	22	22157	Montanuy	16 a 64	Mujeres	89
1998	22	22157	Montanuy	65 y más	Mujeres	37
1998	22	22158	Monzón	0 a 15	Mujeres	1086
1998	22	22158	Monzón	16 a 64	Mujeres	4560
1998	22	22158	Monzón	65 y más	Mujeres	1582
1998	22	22160	Naval	0 a 15	Mujeres	17
1998	22	22160	Naval	16 a 64	Mujeres	78
1998	22	22160	Naval	65 y más	Mujeres	56
1998	22	22162	Novales	0 a 15	Mujeres	11
1998	22	22162	Novales	16 a 64	Mujeres	53
1998	22	22162	Novales	65 y más	Mujeres	30
