Año	Inscripción provincia código	Inscripción provincia nombre	Edad (grandes grupos)	Sexo	Personas	Nivel de estudios Código	Nivel de estudios Nombre
2012	44	Teruel	16-64	Mujer	330,0	0	Sin clasificar
2012	44	Teruel	16-64	Mujer	2,0	1	No sabe leer ni escribir
2012	44	Teruel	16-64	Mujer	62,0	2	Inferior a graduado escolar o ESO
2012	44	Teruel	16-64	Mujer	237,0	3	Graduado escolar o ESO
2012	44	Teruel	16-64	Mujer	528,0	4	BUP, Bachiller, LOGSE ó superior
2012	44	Teruel	65 y más	Hombre	312,0	0	Sin clasificar
2012	44	Teruel	65 y más	Hombre	3,0	1	No sabe leer ni escribir
2012	44	Teruel	65 y más	Hombre	119,0	2	Inferior a graduado escolar o ESO
2012	44	Teruel	65 y más	Hombre	219,0	3	Graduado escolar o ESO
2012	44	Teruel	65 y más	Hombre	140,0	4	BUP, Bachiller, LOGSE ó superior
2012	44	Teruel	65 y más	Mujer	341,0	0	Sin clasificar
2012	44	Teruel	65 y más	Mujer	1,0	1	No sabe leer ni escribir
2012	44	Teruel	65 y más	Mujer	142,0	2	Inferior a graduado escolar o ESO
2012	44	Teruel	65 y más	Mujer	242,0	3	Graduado escolar o ESO
2012	44	Teruel	65 y más	Mujer	127,0	4	BUP, Bachiller, LOGSE ó superior
2012	50	Zaragoza	0-15	Hombre	1481,0	0	Sin clasificar
2012	50	Zaragoza	0-15	Hombre	22,0	1	No sabe leer ni escribir
2012	50	Zaragoza	0-15	Hombre	208,0	2	Inferior a graduado escolar o ESO
2012	50	Zaragoza	0-15	Hombre	35,0	3	Graduado escolar o ESO
2012	50	Zaragoza	0-15	Hombre	7,0	4	BUP, Bachiller, LOGSE ó superior
2012	50	Zaragoza	0-15	Mujer	1394,0	0	Sin clasificar
2012	50	Zaragoza	0-15	Mujer	20,0	1	No sabe leer ni escribir
2012	50	Zaragoza	0-15	Mujer	193,0	2	Inferior a graduado escolar o ESO
2012	50	Zaragoza	0-15	Mujer	48,0	3	Graduado escolar o ESO
2012	50	Zaragoza	0-15	Mujer	10,0	4	BUP, Bachiller, LOGSE ó superior
2012	50	Zaragoza	16-64	Hombre	1570,0	0	Sin clasificar
2012	50	Zaragoza	16-64	Hombre	4,0	1	No sabe leer ni escribir
2012	50	Zaragoza	16-64	Hombre	250,0	2	Inferior a graduado escolar o ESO
2012	50	Zaragoza	16-64	Hombre	1179,0	3	Graduado escolar o ESO
2012	50	Zaragoza	16-64	Hombre	2982,0	4	BUP, Bachiller, LOGSE ó superior
2012	50	Zaragoza	16-64	Mujer	1744,0	0	Sin clasificar
2012	50	Zaragoza	16-64	Mujer	3,0	1	No sabe leer ni escribir
2012	50	Zaragoza	16-64	Mujer	202,0	2	Inferior a graduado escolar o ESO
2012	50	Zaragoza	16-64	Mujer	1243,0	3	Graduado escolar o ESO
