Año	Mes y año	Mes (código)	Mes nombre	AÑO-CNO	Comarca código	Comarca nombre	 CASE  WHEN Ocupación (1 dígito) código = '0' THEN '99' ELSE Ocupación (1 dígito) código END	Ocupación (1 dígito) descripción	Sexo	Número de contratos
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	9	Ocupaciones elementales	Mujeres	90
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	1	Directores y gerentes	Hombres	5
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	1	Directores y gerentes	Mujeres	3
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	2	Técnicos y profesionales científicos e intelectuales	Hombres	22
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	2	Técnicos y profesionales científicos e intelectuales	Mujeres	29
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	3	Técnicos; profesionales de apoyo	Hombres	34
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	3	Técnicos; profesionales de apoyo	Mujeres	13
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	7
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	15
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	66
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	159
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	17
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	45
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	2
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	64
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	6
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	9	Ocupaciones elementales	Hombres	212
2021	Octubre 2021	202110	Octubre	CNO - 2011	08	Cinca Medio	9	Ocupaciones elementales	Mujeres	171
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	1	Directores y gerentes	Hombres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	2	Técnicos y profesionales científicos e intelectuales	Hombres	22
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	2	Técnicos y profesionales científicos e intelectuales	Mujeres	17
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	3	Técnicos; profesionales de apoyo	Hombres	16
