Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Inscripción comarca código	Inscripción comarca nombre	Sexo	Personas
2009	1	Europa	01	UE-27_2007	126	Alemania	32	Gúdar-Javalambre	Hombre	2,0
2009	1	Europa	01	UE-27_2007	128	Rumanía	05	Cinco Villas	Hombre	2,0
2009	1	Europa	01	UE-27_2007	128	Rumanía	08	Cinca Medio	Hombre	1,0
2009	1	Europa	01	UE-27_2007	128	Rumanía	10	Los Monegros	Hombre	1,0
2009	1	Europa	01	UE-27_2007	128	Rumanía	17	D.C. Zaragoza	Hombre	4,0
2009	1	Europa	01	UE-27_2007	131	Suecia	02	Alto Gállego	Hombre	1,0
2009	1	Europa	01	UE-27_2007	131	Suecia	05	Cinco Villas	Hombre	1,0
2009	1	Europa	01	UE-27_2007	131	Suecia	06	Hoya de Huesca / Plana de Uesca	Hombre	1,0
2009	1	Europa	01	UE-27_2007	131	Suecia	07	Somontano de Barbastro	Hombre	1,0
2009	1	Europa	01	UE-27_2007	131	Suecia	08	Cinca Medio	Hombre	1,0
2009	1	Europa	01	UE-27_2007	131	Suecia	11	Bajo Cinca / Baix Cinca	Hombre	1,0
2009	1	Europa	01	UE-27_2007	131	Suecia	15	Ribera Alta del Ebro	Hombre	4,0
2009	1	Europa	01	UE-27_2007	131	Suecia	17	D.C. Zaragoza	Hombre	23,0
2009	1	Europa	01	UE-27_2007	131	Suecia	18	Ribera Baja del Ebro	Hombre	4,0
2009	1	Europa	01	UE-27_2007	131	Suecia	20	Comunidad de Calatayud	Hombre	1,0
2009	1	Europa	01	UE-27_2007	131	Suecia	23	Bajo Martín	Hombre	3,0
2009	1	Europa	01	UE-27_2007	131	Suecia	25	Jiloca	Hombre	1,0
2009	1	Europa	01	UE-27_2007	131	Suecia	27	Andorra-Sierra de Arcos	Hombre	3,0
2009	1	Europa	01	UE-27_2007	131	Suecia	28	Bajo Aragón	Hombre	1,0
2009	1	Europa	01	UE-27_2007	131	Suecia	29	Comunidad de Teruel	Hombre	2,0
2009	1	Europa	01	UE-27_2007	131	Suecia	32	Gúdar-Javalambre	Hombre	1,0
2009	1	Europa	01	UE-27_2007	141	Estonia	29	Comunidad de Teruel	Hombre	1,0
2009	1	Europa	01	UE-27_2007	142	Lituania	06	Hoya de Huesca / Plana de Uesca	Hombre	1,0
2009	1	Europa	01	UE-27_2007	142	Lituania	17	D.C. Zaragoza	Hombre	2,0
2009	1	Europa	01	UE-27_2007	143	República Checa	17	D.C. Zaragoza	Hombre	6,0
2009	1	Europa	01	UE-27_2007	143	República Checa	20	Comunidad de Calatayud	Hombre	1,0
2009	1	Europa	01	UE-27_2007	143	República Checa	28	Bajo Aragón	Hombre	1,0
2009	1	Europa	01	UE-27_2007	144	Eslovaquia	17	D.C. Zaragoza	Hombre	2,0
2009	1	Europa	01	UE-27_2007	147	Eslovenia	07	Somontano de Barbastro	Hombre	1,0
2009	1	Europa	01	UE-27_2007	147	Eslovenia	29	Comunidad de Teruel	Hombre	1,0
2009	1	Europa	02	Resto de Europa	120	Noruega	12	Tarazona y el Moncayo	Hombre	1,0
2009	1	Europa	02	Resto de Europa	120	Noruega	13	Campo de Borja	Hombre	1,0
2009	1	Europa	02	Resto de Europa	120	Noruega	17	D.C. Zaragoza	Hombre	5,0
2009	1	Europa	02	Resto de Europa	120	Noruega	21	Campo de Cariñena	Hombre	1,0
2009	1	Europa	02	Resto de Europa	120	Noruega	29	Comunidad de Teruel	Hombre	2,0
2009	1	Europa	02	Resto de Europa	124	Andorra	01	La Jacetania	Hombre	6,0
2009	1	Europa	02	Resto de Europa	124	Andorra	02	Alto Gállego	Hombre	1,0
2009	1	Europa	02	Resto de Europa	124	Andorra	03	Sobrarbe	Hombre	2,0
2009	1	Europa	02	Resto de Europa	124	Andorra	04	La Ribagorza	Hombre	12,0
2009	1	Europa	02	Resto de Europa	124	Andorra	05	Cinco Villas	Hombre	6,0
2009	1	Europa	02	Resto de Europa	124	Andorra	06	Hoya de Huesca / Plana de Uesca	Hombre	15,0
2009	1	Europa	02	Resto de Europa	124	Andorra	07	Somontano de Barbastro	Hombre	22,0
2009	1	Europa	02	Resto de Europa	124	Andorra	08	Cinca Medio	Hombre	14,0
2009	1	Europa	02	Resto de Europa	124	Andorra	09	La Litera / La Llitera	Hombre	31,0
2009	1	Europa	02	Resto de Europa	124	Andorra	10	Los Monegros	Hombre	6,0
2009	1	Europa	02	Resto de Europa	124	Andorra	11	Bajo Cinca / Baix Cinca	Hombre	26,0
2009	1	Europa	02	Resto de Europa	124	Andorra	12	Tarazona y el Moncayo	Hombre	4,0
2009	1	Europa	02	Resto de Europa	124	Andorra	14	Aranda	Hombre	3,0
2009	1	Europa	02	Resto de Europa	124	Andorra	15	Ribera Alta del Ebro	Hombre	2,0
2009	1	Europa	02	Resto de Europa	124	Andorra	16	Valdejalón	Hombre	4,0
2009	1	Europa	02	Resto de Europa	124	Andorra	17	D.C. Zaragoza	Hombre	128,0
2009	1	Europa	02	Resto de Europa	124	Andorra	18	Ribera Baja del Ebro	Hombre	4,0
2009	1	Europa	02	Resto de Europa	124	Andorra	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombre	10,0
2009	1	Europa	02	Resto de Europa	124	Andorra	20	Comunidad de Calatayud	Hombre	11,0
2009	1	Europa	02	Resto de Europa	124	Andorra	21	Campo de Cariñena	Hombre	1,0
2009	1	Europa	02	Resto de Europa	124	Andorra	23	Bajo Martín	Hombre	1,0
2009	1	Europa	02	Resto de Europa	124	Andorra	24	Campo de Daroca	Hombre	1,0
2009	1	Europa	02	Resto de Europa	124	Andorra	25	Jiloca	Hombre	2,0
2009	1	Europa	02	Resto de Europa	124	Andorra	26	Cuencas Mineras	Hombre	1,0
2009	1	Europa	02	Resto de Europa	124	Andorra	27	Andorra-Sierra de Arcos	Hombre	1,0
2009	1	Europa	02	Resto de Europa	124	Andorra	28	Bajo Aragón	Hombre	14,0
2009	1	Europa	02	Resto de Europa	124	Andorra	29	Comunidad de Teruel	Hombre	6,0
2009	1	Europa	02	Resto de Europa	124	Andorra	30	Maestrazgo	Hombre	2,0
2009	1	Europa	02	Resto de Europa	124	Andorra	33	Matarraña / Matarranya	Hombre	6,0
2009	1	Europa	02	Resto de Europa	132	Suiza	01	La Jacetania	Hombre	1,0
2009	1	Europa	02	Resto de Europa	132	Suiza	02	Alto Gállego	Hombre	2,0
