Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
2015	Hombres	89	02	Aragón	-1730	-0,0072279412320748624194810480247394462971
2015	Mujeres	89	02	Aragón	3036	0,0126844101621845562459794576896583577792
1998	Hombres	88	02	Aragón	-965	-0,0040317706872556313495949198519500379634
1998	Mujeres	88	02	Aragón	1908	0,0079716253588432586684218726191924066675
1999	Hombres	88	02	Aragón	-1013	-0,0042323147214403674167250298549485890745
1999	Mujeres	88	02	Aragón	2124	0,0088740735126745709705073676326858866676
2000	Hombres	88	02	Aragón	-1068	-0,0044621047606103774936449475667177622227
2000	Mujeres	88	02	Aragón	2143	0,0089534555262060289970797028422061464825
2001	Hombres	88	02	Aragón	-1193	-0,0049843548496331276684629423661931557413
2001	Mujeres	88	02	Aragón	2374	0,0099185736907200713201433572316366737048
2002	Hombres	88	02	Aragón	-1120	-0,0046793607976438415663692334032995259264
2002	Mujeres	88	02	Aragón	2348	0,0098099456722033392837812143133457918529
2003	Hombres	88	02	Aragón	-1180	-0,0049300408403747616502818709070477148154
2003	Mujeres	88	02	Aragón	2419	0,0101065837227682613830778353594478153715
2004	Hombres	88	02	Aragón	-1189	-0,0049676428467843996628687665326099431487
2004	Mujeres	88	02	Aragón	2373	0,0099143956900078893187448132732408705566
2005	Hombres	88	02	Aragón	-1105	-0,0046166907869611115453910740273624787042
2005	Mujeres	88	02	Aragón	2345	0,0097974116700667932795855824381583824085
2006	Hombres	88	02	Aragón	-1150	-0,0048047008190093016083255521551736203709
2006	Mujeres	88	02	Aragón	2363	0,0098726156828860693047593736892828390752
2007	Hombres	88	02	Aragón	-1205	-0,0050344908581793116852454698669427935191
2007	Mujeres	88	02	Aragón	2602	0,0108711578530975676390113797458797914827
2008	Hombres	88	02	Aragón	-1244	-0,0051974328859544097397886842443791162969
2008	Mujeres	88	02	Aragón	2597	0,0108502678495366576320186599539007757419
2009	Hombres	88	02	Aragón	-1594	-0,0066597331352181102292790696829102181489
2009	Mujeres	88	02	Aragón	3117	0,0130228282198712983592615183197184127792
2010	Hombres	88	02	Aragón	-1760	-0,0073532812534403224614373667766135407415
2010	Mujeres	88	02	Aragón	3167	0,0132317282554803984291887162395085701866
2011	Hombres	88	02	Aragón	-1788	-0,0074702652733814185005965976116960288897
2011	Mujeres	88	02	Aragón	3403	0,0142177364235553507592450904209181131497
2012	Hombres	88	02	Aragón	-3788	-0,0158262666977454212976845144033023251869
2012	Mujeres	88	02	Aragón	6836	0,0285608128684761615604464995937103207439
2013	Hombres	88	02	Aragón	-1933	-0,0080760753766478087033854715790874853713
2013	Mujeres	88	02	Aragón	3546	0,014815190525397376959236876471517963335
2014	Hombres	88	02	Aragón	-1965	-0,008209771399437632748138878247753186112
2014	Mujeres	88	02	Aragón	3367	0,0140673283979167987088975079186691998164
2015	Hombres	88	02	Aragón	-1961	-0,0081930593965889047425447024141699735194
2015	Mujeres	88	02	Aragón	3620	0,0151243625780988450627291293928073962979
1998	Hombres	87	02	Aragón	-1217	-0,0050846268667254957020279973676924312969
1998	Mujeres	87	02	Aragón	2378	0,0099352856935687993257375330652198862974
1999	Hombres	87	02	Aragón	-1228	-0,0051305848745594977174119809100462659265
1999	Mujeres	87	02	Aragón	2377	0,0099311076928566173243389891068240831492
2000	Hombres	87	02	Aragón	-1372	-0,0057322169771137059188023109190419192599
2000	Mujeres	87	02	Aragón	2625	0,0109672518694777536711778907889832638901
2001	Hombres	87	02	Aragón	-1316	-0,0054982489372315138404838492488769429636
2001	Mujeres	87	02	Aragón	2645	0,0110508118837213936991487699568993268531
2002	Hombres	87	02	Aragón	-1377	-0,0057531069806746159257950307110209350006
2002	Mujeres	87	02	Aragón	2754	0,0115062139613492318515900614220418700013
2003	Hombres	87	02	Aragón	-1371	-0,0057280389764015239174037669606461161117
2003	Mujeres	87	02	Aragón	2645	0,0110508118837213936991487699568993268531
2004	Hombres	87	02	Aragón	-1272	-0,005314416905895505778947915079461604445
2004	Mujeres	87	02	Aragón	2621	0,0109505398666290256655837149554000512975
2005	Hombres	87	02	Aragón	-1351	-0,0056444789621578838894328877927300531488
2005	Mujeres	87	02	Aragón	2675	0,0111761519050868537411050887087734212975
2006	Hombres	87	02	Aragón	-1399	-0,0058450229963426199565629977957286042599
2006	Mujeres	87	02	Aragón	2917	0,0121872280774348980795527266405577831495
2007	Hombres	87	02	Aragón	-1457	-0,0060873470376491760376785473826851868525
2007	Mujeres	87	02	Aragón	2869	0,0119866840432501620124226166375592320383
2008	Hombres	87	02	Aragón	-1834	-0,0076624533061417905649296196979029737045
2008	Mujeres	87	02	Aragón	3430	0,0143305424427842647970057772976047981497
2009	Hombres	87	02	Aragón	-2037	-0,0085105874507147368488340432522510127787
2009	Mujeres	87	02	Aragón	3474	0,0145143744741202728585417114670201366683
2010	Hombres	87	02	Aragón	-2029	-0,0084771634450172808376456915850845875935
