Año	Comarca código	Comarca nombre	Superficie total agricultura ecológica	Superficie calificada agricultura ecológica	Superficie calificada en reconversión	Superficie calificada primer año prácticas	Superficie certificaciones privadas	Superficie sin clasificar
2018	03	Sobrarbe	698,7	579,41	107,38	11,91	0	0
2018	04	La Ribagorza	2186,8666	1824,0566	67,45	5,65	0	0
2018	05	Cinco Villas	1528671,14	696189,47	82,7	432,35	549,77	0
2018	06	Hoya de Huesca / Plana de Uesca	3723306,76	61978,73	124,24	313767,8917	230,07	0
2018	07	Somontano de Barbastro	133587,3	113975,74	19,75	10610,8	0	0
2018	08	Cinca Medio	1034157,4	437,4662	17,65	29,4	175496,71	0
2018	09	La Litera / La Llitera	10012,47	9917,39	23,94	11,2	0	0
2018	10	Los Monegros	2242096,98	1489378,12	80,1044	290,06	1979,74	0
2018	11	Bajo Cinca / Baix Cinca	120,66	86,21	5,59	28,86	0	0
2018	12	Tarazona y el Moncayo	293030,5	175508	25469	6,92	55,78	0
2018	13	Campo de Borja	1107933,4	89818,87	12,35	46142,2531	1393,95	0
2018	14	Aranda	38,36	38,36	0	0	0	0
2018	15	Ribera Alta del Ebro	14744977,24	14744584,11	86,6	2,9	303,63	0
2018	16	Valdejalón	42121289,81	1282162,34	157057,06	1188537,8	3075,75	0
2018	17	Central	24328222,67	11261526,78	433763,11	181312,83	2838,67	0
2018	18	Ribera Baja del Ebro	817921,09	47381,52	0,685	561014,28	499,11	0
2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	18492857,25	16282062,55	84,17	5080,02	137774,76	0
2018	20	Comunidad de Calatayud	1002714,75	299968,43	22,54	262831,73	635,98	0
2018	21	Campo de Cariñena	1425,87	951,2	115,05	111,8	247,82	0
2018	22	Campo de Belchite	2082684,43	6439,22	307,28	32447,94	694,29	0
2018	23	Bajo Martín	2581,15	2306,41	136,32	110,46	27,96	0
2018	24	Campo de Daroca	388074,0696	450,6	32,48	64775,4216	146092	0
2018	25	Jiloca	872647,92	2303,04	36025,93	15201	55,31	0
2018	26	Cuencas Mineras	4670316,5	240,24	9,48	3886545,14	0	0
2018	27	Andorra-Sierra de Arcos	351,3	234,56	4,26	112,48	0	0
2018	28	Bajo Aragón	9240872	7359587,7	118,24	189156,17	381,05	0
2018	29	Comunidad de Teruel	4416824,63	1403,44	13020,45	3112000,02	729,7	0
2018	30	Maestrazgo	3966618,54	1026,59	136,88	3910860,53	0	0
2018	31	Sierra de Albarracín	2335,48	1642,79	1,77	7,42	683,5	0
2018	32	Gúdar-Javalambre	6919996,33	718,91	0	5679101,45	0	0
2018	33	Matarraña / Matarranya	8517807,73	2359154,64	131748,81	308616,36	40,45	0
