Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Cuota (euros)
2001	22043	Baells	181,0	1368,4	1368,4	4105,17
2001	22044	Bailo	369,0	2618,79	2618,79	17020,0
2001	22045	Baldellou	227,0	3657,55	3657,55	14630,0
2001	22046	Ballobar	873,0	13239,5	8708,51	53350,0
2001	22047	Banastás	148,0	3247,42	3247,42	12990,0
2001	22048	Barbastro	11585,0	224121,88	224121,88	1447825,0
2001	22049	Barbués	76,0	766,5	766,5	2299,65
2001	22050	Barbuñales	124,0	1133,79	1133,79	6800,0
2001	22051	Bárcabo	196,0	1411,76	1411,76	5650,0
2001	22052	Belver de Cinca	846,0	10433,32	10433,32	36510,0
2001	22053	Benabarre	1226,0	14089,6	14089,6	105670,0
2001	22054	Benasque	3396,0	81212,66	81212,66	454790,0
2001	22055	Berbegal	326,0	2791,58	2791,58	12560,0
2001	22057	Bielsa	617,0	14037,61	14037,61	84220,0
2001	22058	Bierge	333,0	2590,1	2590,1	15540,0
2001	22059	Biescas	3863,0	55030,39	55030,39	440240,0
2001	22060	Binaced	1072,0	15407,15	15407,15	64710,0
2001	22061	Binéfar	5329,0	140948,89	108626,55	810354,7
2001	22062	Bisaurri	192,0	1311,61	1311,61	5900,0
2001	22063	Biscarrués	285,0	2411,56	2411,56	20500,0
2001	22064	Blecua y Torres	205,0	1722,91	1722,91	7750,0
2001	22066	Boltaña	955,0	16424,57	16424,57	123190,0
2001	22067	Bonansa	81,0	1903,68	1903,68	15230,0
2001	22068	Borau	97,0	957,95	957,95	5750,0
2001	22069	Broto	787,0	10426,56	10426,56	52130,0
2001	22072	Caldearenas	331,0	4154,06	4154,06	27000,0
2001	22074	Campo	476,0	8256,31	8256,31	49540,0
2001	22075	Camporrells	293,0	1952,54	1952,54	10740,0
2001	22076	Canal de Berdún	602,0	5906,29	5906,29	35440,0
2001	22077	Candasnos	390,0	23730,0	23730,0	106785,49
2001	22078	Canfranc	1646,0	25513,0	25513,0	165837,38
2001	22079	Capdesaso	222,0	1997,4	1997,4	7990,0
2001	22080	Capella	373,0	2908,91	2908,91	11630,0
2001	22081	Casbas de Huesca	479,0	3645,29	3645,29	14580,0
2001	22082	Castejón del Puente	358,0	5524,68	5524,68	26520,0
2001	22083	Castejón de Monegros	809,0	7671,0	7671,0	34520,0
2001	22084	Castejón de Sos	664,0	11057,55	11057,55	77400,0
2001	22085	Castelflorite	148,0	1577,94	1577,94	7100,0
2001	22086	Castiello de Jaca	677,0	12281,0	12281,0	67550,0
2001	22087	Castigaleu	59,0	369,53	369,53	1480,0
2001	22088	Castillazuelo	220,0	1409,66	1409,66	9160,0
2001	22089	Castillonroy	402,0	5179,81	5179,81	25900,0
2001	22090	Colungo	150,0	840,32	840,32	3360,0
2001	22094	Chalamera	128,0	967,04	967,04	4250,0
2001	22095	Chía	102,0	1298,2	1298,2	5190,0
2001	22096	Chimillas	138,0	2922,81	2922,81	11690,0
2001	22099	Esplús	634,0	6153,6	6153,6	30770,0
2001	22102	Estada	182,0	3452,48	3452,48	13810,0
2001	22103	Estadilla	796,0	14617,95	14617,95	58470,0
2001	22105	Estopiñán del Castillo	235,0	6020,9	6020,9	48170,0
2001	22106	Fago	111,0	482,78	482,78	2420,0
