Mes y año	'Aragón'	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Octubre 2020	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	35085
Octubre 2020	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3758
Octubre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	517
Octubre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	15
Octubre 2020	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	6098
Octubre 2020	Aragón	No consta	No consta		No consta	Mujeres	6
Octubre 2020	Aragón	No consta	No consta	No consta	No consta	Mujeres	2
Septiembre 2020	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	25220
Septiembre 2020	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2408
Septiembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	421
Septiembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	27
Septiembre 2020	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	3841
Septiembre 2020	Aragón	No consta	No consta		No consta	Hombres	4
Septiembre 2020	Aragón	No consta	No consta	No consta	No consta	Hombres	2
Septiembre 2020	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	34981
Septiembre 2020	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3474
Septiembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	492
Septiembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	14
Septiembre 2020	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	5820
Septiembre 2020	Aragón	No consta	No consta		No consta	Mujeres	4
Septiembre 2020	Aragón	No consta	No consta	No consta	No consta	Mujeres	2
Agosto 2020	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	25524
Agosto 2020	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2319
Agosto 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	415
Agosto 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	31
Agosto 2020	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	3678
Agosto 2020	Aragón	No consta	No consta		No consta	Hombres	6
Agosto 2020	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	35583
Agosto 2020	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3355
