Año	Comarca código	Comarca nombre	Estado de la información	Licencias, total	Edificios nueva planta, total	Superficie nueva planta, total	Viviendas nueva planta
2009	03	Sobrarbe	ESTIMACIÓN	57,0	20,0	11056,0	51,0
2009	04	La Ribagorza	ESTIMACIÓN	112,0	55,0	40652,0	229,0
2009	05	Cinco Villas	ESTIMACIÓN	90,0	40,0	16634,0	55,0
2009	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	96,0	42,0	48519,0	200,0
2009	07	Somontano de Barbastro	ESTIMACIÓN	47,0	47,0	26238,0	39,0
2009	08	Cinca Medio	ESTIMACIÓN	43,0	29,0	24940,0	78,0
2009	09	La Litera / La Llitera	ESTIMACIÓN	72,0	51,0	33087,0	47,0
2009	10	Los Monegros	ESTIMACIÓN	69,0	68,0	53673,0	94,0
2009	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	43,0	29,0	15489,0	14,0
2009	12	Tarazona y el Moncayo	ESTIMACIÓN	30,0	20,0	11964,0	17,0
2009	13	Campo de Borja	ESTIMACIÓN	50,0	29,0	15612,0	21,0
2009	14	Aranda	ESTIMACIÓN	11,0	6,0	1377,0	5,0
2009	15	Ribera Alta del Ebro	ESTIMACIÓN	64,0	30,0	17362,0	19,0
2009	16	Valdejalón	ESTIMACIÓN	62,0	42,0	31274,0	32,0
2009	17	D.C. Zaragoza	ESTIMACIÓN	1600,0	503,0	1032473,0	3697,0
2009	18	Ribera Baja del Ebro	ESTIMACIÓN	33,0	19,0	5942,0	20,0
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	45,0	19,0	8426,0	36,0
2009	20	Comunidad de Calatayud	ESTIMACIÓN	34,0	22,0	9308,0	24,0
2009	21	Campo de Cariñena	ESTIMACIÓN	20,0	10,0	2514,0	14,0
2009	22	Campo de Belchite	ESTIMACIÓN	14,0	11,0	3303,0	7,0
2009	23	Bajo Martín	ESTIMACIÓN	26,0	12,0	4861,0	12,0
2009	24	Campo de Daroca	ESTIMACIÓN	18,0	12,0	10065,0	13,0
2009	25	Jiloca	ESTIMACIÓN	78,0	39,0	13668,0	34,0
2009	26	Cuencas Mineras	ESTIMACIÓN	19,0	17,0	5930,0	16,0
2009	27	Andorra-Sierra de Arcos	ESTIMACIÓN	38,0	24,0	16424,0	86,0
2009	28	Bajo Aragón	ESTIMACIÓN	139,0	82,0	31519,0	59,0
2009	29	Comunidad de Teruel	ESTIMACIÓN	75,0	50,0	22189,0	79,0
2009	30	Maestrazgo	ESTIMACIÓN	29,0	23,0	4948,0	19,0
2009	31	Sierra de Albarracín	ESTIMACIÓN	30,0	18,0	3724,0	17,0
2009	32	Gúdar-Javalambre	ESTIMACIÓN	84,0	77,0	24035,0	83,0
2009	33	Matarraña / Matarranya	ESTIMACIÓN	73,0	36,0	9875,0	19,0
2008	01	La Jacetania	ESTIMACIÓN	75,0	30,0	27579,0	205,0
2008	02	Alto Gállego	ESTIMACIÓN	42,0	22,0	14074,0	74,0
2008	03	Sobrarbe	ESTIMACIÓN	41,0	15,0	5120,0	18,0
2008	04	La Ribagorza	ESTIMACIÓN	141,0	73,0	26401,0	132,0
2008	05	Cinco Villas	ESTIMACIÓN	98,0	71,0	56619,0	82,0
2008	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	154,0	128,0	86220,0	297,0
2008	07	Somontano de Barbastro	ESTIMACIÓN	80,0	92,0	54058,0	131,0
2008	08	Cinca Medio	ESTIMACIÓN	54,0	51,0	30414,0	107,0
2008	09	La Litera / La Llitera	ESTIMACIÓN	104,0	88,0	62804,0	95,0
2008	10	Los Monegros	ESTIMACIÓN	78,0	115,0	43721,0	98,0
2008	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	71,0	64,0	44747,0	132,0
2008	12	Tarazona y el Moncayo	ESTIMACIÓN	47,0	41,0	21042,0	76,0
2008	13	Campo de Borja	ESTIMACIÓN	45,0	31,0	12866,0	26,0
2008	14	Aranda	ESTIMACIÓN	8,0	5,0	2056,0	3,0
2008	15	Ribera Alta del Ebro	ESTIMACIÓN	113,0	181,0	94711,0	384,0
2008	16	Valdejalón	ESTIMACIÓN	121,0	160,0	102578,0	374,0
2008	17	D.C. Zaragoza	ESTIMACIÓN	2251,0	1349,0	1883713,0	4841,0
2008	18	Ribera Baja del Ebro	ESTIMACIÓN	35,0	24,0	14203,0	57,0
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	54,0	34,0	10629,0	36,0
2008	20	Comunidad de Calatayud	ESTIMACIÓN	51,0	37,0	49873,0	268,0
2008	21	Campo de Cariñena	ESTIMACIÓN	29,0	19,0	19061,0	17,0
2008	22	Campo de Belchite	ESTIMACIÓN	11,0	5,0	2638,0	3,0
2008	23	Bajo Martín	ESTIMACIÓN	48,0	37,0	10587,0	35,0
2008	24	Campo de Daroca	ESTIMACIÓN	11,0	6,0	1788,0	7,0
2008	25	Jiloca	ESTIMACIÓN	83,0	65,0	45856,0	96,0
2008	26	Cuencas Mineras	ESTIMACIÓN	10,0	6,0	2333,0	5,0
2008	27	Andorra-Sierra de Arcos	ESTIMACIÓN	45,0	48,0	17315,0	72,0
2008	28	Bajo Aragón	ESTIMACIÓN	125,0	95,0	34634,0	125,0
2008	29	Comunidad de Teruel	ESTIMACIÓN	75,0	73,0	48468,0	219,0
2008	30	Maestrazgo	ESTIMACIÓN	25,0	25,0	14594,0	78,0
2008	31	Sierra de Albarracín	ESTIMACIÓN	46,0	33,0	18682,0	65,0
2008	32	Gúdar-Javalambre	ESTIMACIÓN	123,0	152,0	56752,0	351,0
2008	33	Matarraña / Matarranya	ESTIMACIÓN	60,0	42,0	14173,0	59,0
2007	01	La Jacetania	ESTIMACIÓN	105,0	116,0	66368,0	354,0
2007	02	Alto Gállego	ESTIMACIÓN	56,0	94,0	92174,0	610,0
2007	03	Sobrarbe	ESTIMACIÓN	65,0	32,0	19689,0	132,0
2007	04	La Ribagorza	ESTIMACIÓN	198,0	195,0	129665,0	727,0
2007	05	Cinco Villas	ESTIMACIÓN	122,0	94,0	65842,0	305,0
2007	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	189,0	222,0	128590,0	501,0
2007	07	Somontano de Barbastro	ESTIMACIÓN	82,0	100,0	56646,0	216,0
2007	08	Cinca Medio	ESTIMACIÓN	63,0	108,0	61215,0	331,0
2007	09	La Litera / La Llitera	ESTIMACIÓN	152,0	171,0	125614,0	610,0
2007	10	Los Monegros	ESTIMACIÓN	103,0	118,0	54841,0	174,0
2007	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	102,0	91,0	57637,0	226,0
2007	12	Tarazona y el Moncayo	ESTIMACIÓN	45,0	48,0	40857,0	262,0
2007	13	Campo de Borja	ESTIMACIÓN	73,0	68,0	35912,0	93,0
2007	14	Aranda	ESTIMACIÓN	6,0	5,0	2004,0	3,0
2007	15	Ribera Alta del Ebro	ESTIMACIÓN	145,0	461,0	181366,0	887,0
2007	16	Valdejalón	ESTIMACIÓN	155,0	838,0	326117,0	1642,0
2007	17	D.C. Zaragoza	ESTIMACIÓN	2190,0	2895,0	2728960,0	8862,0
