Año	Municipio código	Municipio nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	44093	Cuevas de Almudén		536,0	468,0	2343,0	2343,0
2003	44094	Cuevas Labradas		476,0	433,0	2599,0	2599,0
2003	44096	Ejulve		828,0	812,0	6499,0	6499,0
2003	44097	Escorihuela		530,0	524,0	3147,0	3147,0
2003	44099	Escucha		410,0	245,0	1597,0	1597,0
2003	44100	Estercuel		604,0	481,0	3855,0	3855,0
2003	44101	Ferreruela de Huerva		943,0	942,0	7537,0	7537,0
2003	44102	Fonfría		246,0	224,0	675,0	675,0
2003	44103	Formiche Alto		1092,0	688,0	4131,0	4131,0
2003	44105	Fórnoles		452,0	288,0	1732,0	1732,0
2003	44106	Fortanete		2585,0	1702,0	13619,0	13619,0
2003	44107	Foz-Calanda		853,0	767,0	3454,0	3454,0
2003	44108	Fresneda (La)		792,0	710,0	2133,0	2133,0
2003	44109	Frías de Albarracín		2704,0	377,0	1132,0	1132,0
2003	44110	Fuenferrada		767,0	761,0	3045,0	3045,0
2003	44111	Fuentes Calientes		676,0	676,0	3381,0	3381,0
2003	44112	Fuentes Claras		1728,0	1727,0	11231,0	11231,0
2003	44113	Fuentes de Rubielos		334,0	288,0	1730,0	1730,0
2003	44114	Fuentespalda		899,0	540,0	1623,0	1623,0
2003	44115	Galve		793,0	775,0	4966,0	4966,0
2003	44116	Gargallo		543,0	522,0	4182,0	4182,0
2003	44117	Gea de Albarracín		1577,0	1218,0	7920,0	7920,0
2003	44118	Ginebrosa (La)		1742,0	1638,0	9833,0	9833,0
2003	44119	Griegos		1322,0	306,0	921,0	921,0
2003	44120	Guadalaviar		1386,0	134,0	400,0	400,0
2003	44121	Gúdar		1055,0	488,0	3173,0	3173,0
2003	44122	Híjar		7935,0	7927,0	61833,0	61833,0
2003	44123	Hinojosa de Jarque		746,0	742,0	3714,0	3714,0
2003	44124	Hoz de la Vieja (La)		698,0	696,0	4525,0	4525,0
2003	44125	Huesa del Común		1577,0	1575,0	10249,0	10249,0
2003	44126	Iglesuela del Cid (La)		479,0	412,0	1238,0	1238,0
2003	44127	Jabaloyas		523,0	174,0	524,0	524,0
2003	44128	Jarque de la Val		612,0	597,0	2988,0	2988,0
2003	44129	Jatiel		399,0	399,0	2834,0	2834,0
2003	44130	Jorcas		818,0	808,0	6470,0	6470,0
2003	44131	Josa		506,0	506,0	3289,0	3289,0
2003	44132	Lagueruela		602,0	601,0	4812,0	4812,0
2003	44133	Lanzuela		368,0	366,0	2935,0	2935,0
2003	44135	Libros		644,0	644,0	1933,0	1933,0
2003	44136	Lidón		689,0	688,0	3306,0	3306,0
2003	44137	Linares de Mora		1714,0	1279,0	7678,0	7678,0
2003	44138	Loscos		1813,0	1813,0	5440,0	5440,0
2003	44141	Lledó		563,0	482,0	2172,0	2172,0
2003	44142	Maicas		191,0	191,0	1243,0	1243,0
2003	44143	Manzanera		2421,0	1250,0	5626,0	5626,0
2003	44144	Martín del Río		1328,0	1328,0	6508,0	6508,0
2003	44145	Mas de las Matas		1665,0	1628,0	7816,0	7816,0
2003	44146	Mata de los Olmos (La)		358,0	317,0	953,0	953,0
2003	44147	Mazaleón		2219,0	2142,0	8568,0	8568,0
2003	44148	Mezquita de Jarque		756,0	739,0	3696,0	3696,0
2003	44149	Mirambel		955,0	950,0	3328,0	3328,0
2003	44150	Miravete de la Sierra		522,0	511,0	3579,0	3579,0
2003	44151	Molinos		1192,0	1034,0	6207,0	6207,0
2003	44152	Monforte de Moyuela		1190,0	1145,0	3438,0	3438,0
2003	44153	Monreal del Campo		3374,0	3335,0	19344,0	19344,0
2003	44154	Monroyo		1946,0	1072,0	8581,0	8581,0
2003	44155	Montalbán		1176,0	1043,0	8352,0	8352,0
2003	44156	Monteagudo del Castillo		850,0	753,0	2261,0	2261,0
2003	44157	Monterde de Albarracín		282,0	275,0	828,0	828,0
2003	44158	Mora de Rubielos		3376,0	1458,0	9480,0	9480,0
2003	44159	Moscardón		720,0	248,0	995,0	995,0
