Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2003	44131	Josa	165,0	620,0	620,0	3720,0	3720,0
2003	44132	Lagueruela	132,0	789,0	789,0	3945,0	3945,0
2003	44133	Lanzuela	79,0	424,0	424,0	1908,0	1908,0
2003	44135	Libros	259,0	1706,0	1706,0	6824,0	6824,0
2003	44136	Lidón	135,0	1055,0	1055,0	5275,0	5275,0
2003	44137	Linares de Mora	359,0	2815,0	2815,0	11260,0	11260,0
2003	44138	Loscos	475,0	1945,0	1945,0	7780,0	7780,0
2003	44141	Lledó	185,0	1656,0	1656,0	6624,0	6624,0
2003	44142	Maicas	89,0	388,0	388,0	1940,0	1940,0
2003	44143	Manzanera	1273,0	11289,0	11289,0	56445,0	56445,0
2003	44144	Martín del Río	473,0	4681,0	4681,0	29490,0	29490,0
2003	44145	Mas de las Matas	1431,0	25573,0	20590,0	107068,0	107068,0
2003	44146	Mata de los Olmos (La)	235,0	2602,0	2602,0	10408,0	10408,0
2003	44147	Mazaleón	641,0	6219,0	6219,0	37314,0	37314,0
2003	44148	Mezquita de Jarque	129,0	1168,0	1168,0	4672,0	4672,0
2003	44149	Mirambel	222,0	2625,0	2625,0	11812,0	11812,0
2003	44150	Miravete de la Sierra	104,0	645,0	645,0	3870,0	3870,0
2003	44151	Molinos	444,0	3616,0	3616,0	14464,0	14464,0
2003	44152	Monforte de Moyuela	205,0	1014,0	1014,0	4056,0	4056,0
2003	44153	Monreal del Campo	2020,0	35565,0	35565,0	152930,0	152930,0
2003	44154	Monroyo	309,0	3462,0	3462,0	20772,0	20772,0
2003	44155	Montalbán	1637,0	15237,0	15237,0	85327,0	85327,0
2003	44156	Monteagudo del Castillo	147,0	952,0	952,0	3808,0	3808,0
2003	44157	Monterde de Albarracín	204,0	1243,0	1243,0	4972,0	4972,0
2003	44158	Mora de Rubielos	1769,0	18116,0	18116,0	126812,0	126812,0
2003	44159	Moscardón	148,0	977,0	977,0	3908,0	3908,0
2003	44160	Mosqueruela	633,0	8068,0	8068,0	32272,0	32272,0
2003	44161	Muniesa	894,0	10866,0	10866,0	43464,0	43464,0
2003	44163	Noguera de Albarracín	245,0	1770,0	1770,0	7080,0	7080,0
2003	44164	Nogueras	142,0	506,0	506,0	2024,0	2024,0
2003	44165	Nogueruelas	308,0	2595,0	2595,0	12975,0	12975,0
2003	44167	Obón	310,0	1175,0	1175,0	9988,0	9988,0
2003	44168	Odón	299,0	2581,0	2581,0	11614,0	11614,0
2003	44169	Ojos Negros	838,0	8009,0	8009,0	48054,0	48054,0
2003	44171	Olba	621,0	3709,0	3709,0	20400,0	20400,0
2003	44172	Oliete	765,0	6557,0	6557,0	26228,0	26228,0
2003	44173	Olmos (Los)	211,0	1602,0	1602,0	6408,0	6408,0
2003	44174	Orihuela del Tremedal	743,0	6965,0	6965,0	45272,0	45272,0
2003	44175	Orrios	192,0	1768,0	1768,0	7072,0	7072,0
2003	44176	Palomar de Arroyos	254,0	1665,0	1665,0	6660,0	6660,0
2003	44177	Pancrudo	317,0	2023,0	2023,0	9104,0	9104,0
2003	44178	Parras de Castellote (Las)	263,0	1429,0	1429,0	7145,0	7145,0
2003	44179	Peñarroya de Tastavins	472,0	3848,0	3848,0	15392,0	15392,0
