Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
30	Maestrazgo	2011	1	3171,0	PP-PAR
30	Maestrazgo	2011	2	1796,0	PSOE
30	Maestrazgo	2011	3	315,0	CHA-IU
30	Maestrazgo	2011	4	43,0	UPyD
30	Maestrazgo	2011	5	0,0	EQUO
30	Maestrazgo	2011	6	6,0	PACMA
30	Maestrazgo	2011	7	35,0	Eb
30	Maestrazgo	2011	8	0,0	PCPE
30	Maestrazgo	2011	9	10,0	PUM+J
30	Maestrazgo	2011	11	10,0	UCE
30	Maestrazgo	2011	12	0,0	DeC
30	Maestrazgo	2011	13	0,0	PH
30	Maestrazgo	2011	14	0,0	P-LIB
30	Maestrazgo	2011	15	7,0	SXT
31	Sierra de Albarracín	2011	1	4114,0	PP-PAR
31	Sierra de Albarracín	2011	2	2839,0	PSOE
31	Sierra de Albarracín	2011	3	511,0	CHA-IU
31	Sierra de Albarracín	2011	4	75,0	UPyD
31	Sierra de Albarracín	2011	5	0,0	EQUO
31	Sierra de Albarracín	2011	6	25,0	PACMA
31	Sierra de Albarracín	2011	7	44,0	Eb
31	Sierra de Albarracín	2011	8	0,0	PCPE
31	Sierra de Albarracín	2011	9	19,0	PUM+J
31	Sierra de Albarracín	2011	11	8,0	UCE
31	Sierra de Albarracín	2011	12	0,0	DeC
31	Sierra de Albarracín	2011	13	0,0	PH
31	Sierra de Albarracín	2011	14	0,0	P-LIB
31	Sierra de Albarracín	2011	15	5,0	SXT
32	Gúdar-Javalambre	2011	1	6666,0	PP-PAR
32	Gúdar-Javalambre	2011	2	4550,0	PSOE
32	Gúdar-Javalambre	2011	3	749,0	CHA-IU
32	Gúdar-Javalambre	2011	4	145,0	UPyD
32	Gúdar-Javalambre	2011	5	0,0	EQUO
32	Gúdar-Javalambre	2011	6	23,0	PACMA
32	Gúdar-Javalambre	2011	7	54,0	Eb
32	Gúdar-Javalambre	2011	8	0,0	PCPE
32	Gúdar-Javalambre	2011	9	20,0	PUM+J
32	Gúdar-Javalambre	2011	11	23,0	UCE
32	Gúdar-Javalambre	2011	12	0,0	DeC
32	Gúdar-Javalambre	2011	13	0,0	PH
32	Gúdar-Javalambre	2011	14	0,0	P-LIB
32	Gúdar-Javalambre	2011	15	15,0	SXT
33	Matarraña / Matarranya	2011	1	7156,0	PP-PAR
33	Matarraña / Matarranya	2011	2	4202,0	PSOE
33	Matarraña / Matarranya	2011	3	624,0	CHA-IU
33	Matarraña / Matarranya	2011	4	83,0	UPyD
33	Matarraña / Matarranya	2011	5	0,0	EQUO
33	Matarraña / Matarranya	2011	6	34,0	PACMA
33	Matarraña / Matarranya	2011	7	88,0	Eb
33	Matarraña / Matarranya	2011	8	0,0	PCPE
33	Matarraña / Matarranya	2011	9	39,0	PUM+J
33	Matarraña / Matarranya	2011	11	14,0	UCE
33	Matarraña / Matarranya	2011	12	0,0	DeC
33	Matarraña / Matarranya	2011	13	0,0	PH
33	Matarraña / Matarranya	2011	14	0,0	P-LIB
33	Matarraña / Matarranya	2011	15	28,0	SXT
