Año	Renta disponible bruta	Código	Comarca
2007	395774518,0	28	Bajo Aragón
2007	692130657,0	29	Comunidad de Teruel
2007	37454202,0	30	Maestrazgo
2007	44982255,0	31	Sierra de Albarracín
2007	91028026,0	32	Gúdar-Javalambre
2007	82948050,0	33	Matarraña / Matarranya
2006	357955284,0	01	La Jacetania
2006	246424088,0	02	Alto Gállego
2006	109099598,0	03	Sobrarbe
2006	173495365,0	04	La Ribagorza
2006	392329387,0	05	Cinco Villas
2006	1147772837,0	06	Hoya de Huesca / Plana de Uesca
2006	353989872,0	07	Somontano de Barbastro
2006	318541977,0	08	Cinca Medio
2006	234377317,0	09	La Litera / La Llitera
2006	214999987,0	10	Los Monegros
2006	300655223,0	11	Bajo Cinca / Baix Cinca
2006	167850889,0	12	Tarazona y el Moncayo
2006	157241610,0	13	Campo de Borja
2006	80682388,0	14	Aranda
2006	316693627,0	15	Ribera Alta del Ebro
2006	298566572,0	16	Valdejalón
2006	11625492250,0	17	D.C. Zaragoza
2006	104868327,0	18	Ribera Baja del Ebro
2006	150058883,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006	462051940,0	20	Comunidad de Calatayud
2006	104651345,0	21	Campo de Cariñena
2006	39320494,0	22	Campo de Belchite
2006	70703475,0	23	Bajo Martín
2006	67876554,0	24	Campo de Daroca
2006	137337565,0	25	Jiloca
2006	110480440,0	26	Cuencas Mineras
2006	153910274,0	27	Andorra-Sierra de Arcos
2006	373010811,0	28	Bajo Aragón
2006	655744716,0	29	Comunidad de Teruel
2006	36733025,0	30	Maestrazgo
2006	42243358,0	31	Sierra de Albarracín
2006	86361497,0	32	Gúdar-Javalambre
2006	79721033,0	33	Matarraña / Matarranya
2005	331430279,0	01	La Jacetania
2005	230094791,0	02	Alto Gállego
2005	99455126,0	03	Sobrarbe
2005	160023421,0	04	La Ribagorza
2005	314862030,0	05	Cinco Villas
2005	1070486090,0	06	Hoya de Huesca / Plana de Uesca
2005	333203130,0	07	Somontano de Barbastro
2005	296738036,0	08	Cinca Medio
2005	221150606,0	09	La Litera / La Llitera
2005	194845055,0	10	Los Monegros
2005	276047428,0	11	Bajo Cinca / Baix Cinca
2005	156149151,0	12	Tarazona y el Moncayo
2005	146960354,0	13	Campo de Borja
2005	76738155,0	14	Aranda
2005	292867068,0	15	Ribera Alta del Ebro
2005	272170095,0	16	Valdejalón
2005	10987096109,0	17	D.C. Zaragoza
2005	98775827,0	18	Ribera Baja del Ebro
2005	148698543,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005	437114048,0	20	Comunidad de Calatayud
2005	98072413,0	21	Campo de Cariñena
2005	37029039,0	22	Campo de Belchite
2005	66231325,0	23	Bajo Martín
2005	62447345,0	24	Campo de Daroca
2005	129235033,0	25	Jiloca
2005	104287250,0	26	Cuencas Mineras
2005	151327009,0	27	Andorra-Sierra de Arcos
2005	347070862,0	28	Bajo Aragón
2005	620077982,0	29	Comunidad de Teruel
2005	33115179,0	30	Maestrazgo
2005	39264257,0	31	Sierra de Albarracín
2005	77951420,0	32	Gúdar-Javalambre
2005	73117539,0	33	Matarraña / Matarranya
2004	310383101,0	01	La Jacetania
2004	213739025,0	02	Alto Gállego
2004	93968312,0	03	Sobrarbe
2004	147956984,0	04	La Ribagorza
2004	348092217,0	05	Cinco Villas
2004	999643002,0	06	Hoya de Huesca / Plana de Uesca
2004	314916416,0	07	Somontano de Barbastro
2004	280690615,0	08	Cinca Medio
2004	209150873,0	09	La Litera / La Llitera
2004	198190238,0	10	Los Monegros
2004	260971265,0	11	Bajo Cinca / Baix Cinca
2004	145107375,0	12	Tarazona y el Moncayo
2004	134678302,0	13	Campo de Borja
2004	74154509,0	14	Aranda
2004	272782137,0	15	Ribera Alta del Ebro
2004	251091577,0	16	Valdejalón
2004	10271791440,0	17	D.C. Zaragoza
2004	93509260,0	18	Ribera Baja del Ebro
2004	128307198,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2004	411524241,0	20	Comunidad de Calatayud
2004	87830428,0	21	Campo de Cariñena
2004	35422722,0	22	Campo de Belchite
2004	64840314,0	23	Bajo Martín
2004	60560852,0	24	Campo de Daroca
2004	123717981,0	25	Jiloca
2004	99980720,0	26	Cuencas Mineras
2004	145814374,0	27	Andorra-Sierra de Arcos
2004	323627391,0	28	Bajo Aragón
2004	579439794,0	29	Comunidad de Teruel
2004	31707268,0	30	Maestrazgo
2004	38935974,0	31	Sierra de Albarracín
2004	71404393,0	32	Gúdar-Javalambre
2004	69526710,0	33	Matarraña / Matarranya
2003	297151055,0	01	La Jacetania
2003	205258395,0	02	Alto Gállego
2003	86881873,0	03	Sobrarbe
2003	140218337,0	04	La Ribagorza
2003	332876203,0	05	Cinco Villas
2003	955098481,0	06	Hoya de Huesca / Plana de Uesca
2003	304787757,0	07	Somontano de Barbastro
2003	266570301,0	08	Cinca Medio
2003	200888440,0	09	La Litera / La Llitera
2003	188717564,0	10	Los Monegros
2003	253822051,0	11	Bajo Cinca / Baix Cinca
2003	138047533,0	12	Tarazona y el Moncayo
2003	128809210,0	13	Campo de Borja
2003	70968532,0	14	Aranda
2003	253160113,0	15	Ribera Alta del Ebro
2003	228973262,0	16	Valdejalón
2003	9918731145,0	17	D.C. Zaragoza
2003	90041357,0	18	Ribera Baja del Ebro
2003	121189851,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2003	393024969,0	20	Comunidad de Calatayud
2003	84502742,0	21	Campo de Cariñena
2003	34685134,0	22	Campo de Belchite
2003	62998754,0	23	Bajo Martín
2003	58854136,0	24	Campo de Daroca
2003	119318107,0	25	Jiloca
2003	95410509,0	26	Cuencas Mineras
2003	138362326,0	27	Andorra-Sierra de Arcos
2003	303214823,0	28	Bajo Aragón
2003	548506974,0	29	Comunidad de Teruel
2003	29860495,0	30	Maestrazgo
2003	36545838,0	31	Sierra de Albarracín
2003	67157112,0	32	Gúdar-Javalambre
2003	64324620,0	33	Matarraña / Matarranya
2002	278890766,0	01	La Jacetania
2002	190183744,0	02	Alto Gállego
2002	83134754,0	03	Sobrarbe
2002	132569904,0	04	La Ribagorza
2002	315823014,0	05	Cinco Villas
2002	900447357,0	06	Hoya de Huesca / Plana de Uesca
2002	286998677,0	07	Somontano de Barbastro
2002	253446357,0	08	Cinca Medio
2002	193665556,0	09	La Litera / La Llitera
2002	179904289,0	10	Los Monegros
2002	236290559,0	11	Bajo Cinca / Baix Cinca
2002	130863079,0	12	Tarazona y el Moncayo
2002	121446083,0	13	Campo de Borja
2002	68027089,0	14	Aranda
2002	237807438,0	15	Ribera Alta del Ebro
2002	213099705,0	16	Valdejalón
2002	9253464610,0	17	D.C. Zaragoza
2002	86926412,0	18	Ribera Baja del Ebro
2002	116377251,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2002	372609324,0	20	Comunidad de Calatayud
2002	80712216,0	21	Campo de Cariñena
2002	35800748,0	22	Campo de Belchite
2002	60577025,0	23	Bajo Martín
2002	55963889,0	24	Campo de Daroca
2002	110057702,0	25	Jiloca
2002	92816804,0	26	Cuencas Mineras
2002	140731643,0	27	Andorra-Sierra de Arcos
2002	287268542,0	28	Bajo Aragón
2002	518610815,0	29	Comunidad de Teruel
2002	29149946,0	30	Maestrazgo
2002	35774944,0	31	Sierra de Albarracín
2002	64024930,0	32	Gúdar-Javalambre
2002	62633829,0	33	Matarraña / Matarranya
2001	258507047,0	01	La Jacetania
2001	175452361,0	02	Alto Gállego
2001	75570005,0	03	Sobrarbe
2001	124705940,0	04	La Ribagorza
2001	294004859,0	05	Cinco Villas
2001	842729510,0	06	Hoya de Huesca / Plana de Uesca
2001	265159824,0	07	Somontano de Barbastro
2001	236864732,0	08	Cinca Medio
2001	180822636,0	09	La Litera / La Llitera
2001	170103133,0	10	Los Monegros
2001	222980221,0	11	Bajo Cinca / Baix Cinca
2001	123629263,0	12	Tarazona y el Moncayo
2001	113611422,0	13	Campo de Borja
2001	64862741,0	14	Aranda
2001	219454517,0	15	Ribera Alta del Ebro
2001	196009424,0	16	Valdejalón
2001	8669521321,0	17	D.C. Zaragoza
2001	81014674,0	18	Ribera Baja del Ebro
2001	109417748,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2001	347008419,0	20	Comunidad de Calatayud
2001	77325421,0	21	Campo de Cariñena
2001	33973076,0	22	Campo de Belchite
2001	54689118,0	23	Bajo Martín
2001	53442757,0	24	Campo de Daroca
2001	103217145,0	25	Jiloca
2001	88147113,0	26	Cuencas Mineras
2001	122717921,0	27	Andorra-Sierra de Arcos
2001	266498009,0	28	Bajo Aragón
2001	484942447,0	29	Comunidad de Teruel
2001	27426315,0	30	Maestrazgo
2001	33449339,0	31	Sierra de Albarracín
2001	59318616,0	32	Gúdar-Javalambre
2001	57772926,0	33	Matarraña / Matarranya
2000	238808543,0	01	La Jacetania
2000	161403618,0	02	Alto Gállego
2000	69405336,0	03	Sobrarbe
2000	113583568,0	04	La Ribagorza
2000	270045488,0	05	Cinco Villas
2000	777259877,0	06	Hoya de Huesca / Plana de Uesca
2000	245572668,0	07	Somontano de Barbastro
2000	218929039,0	08	Cinca Medio
2000	165376791,0	09	La Litera / La Llitera
2000	150993765,0	10	Los Monegros
2000	198445100,0	11	Bajo Cinca / Baix Cinca
2000	114132628,0	12	Tarazona y el Moncayo
2000	107469794,0	13	Campo de Borja
2000	60012845,0	14	Aranda
2000	205866970,0	15	Ribera Alta del Ebro
2000	180329499,0	16	Valdejalón
