Mes (código)	Mes y año	Municipio nombre	Municipio código	Sexo	Nacionalidad	Afiliaciones en alta
201209	Septiembre 2012	Sobradiel	50247	Hombres	Extranjeros no comunitarios	15
201209	Septiembre 2012	Sobradiel	50247	Mujeres	Extranjeros no comunitarios	13
201209	Septiembre 2012	Sobradiel	50247	Hombres	Extranjeros comunitarios (UE-27)	32
201209	Septiembre 2012	Sobradiel	50247	Mujeres	Extranjeros comunitarios (UE-27)	2
201209	Septiembre 2012	Sobradiel	50247	Hombres	Extranjeros no comunitarios	1
201209	Septiembre 2012	Sopeira	22223	Hombres	Españoles	13
201209	Septiembre 2012	Sopeira	22223	Mujeres	Españoles	7
201209	Septiembre 2012	Sopeira	22223	Hombres	Extranjeros comunitarios (UE-27)	2
201209	Septiembre 2012	Sopeira	22223	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Sos del Rey Católico	50248	Hombres	Españoles	134
201209	Septiembre 2012	Sos del Rey Católico	50248	Mujeres	Españoles	87
201209	Septiembre 2012	Sos del Rey Católico	50248	Hombres	Extranjeros comunitarios (UE-27)	5
201209	Septiembre 2012	Sos del Rey Católico	50248	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Sos del Rey Católico	50248	Hombres	Extranjeros no comunitarios	15
201209	Septiembre 2012	Sos del Rey Católico	50248	Mujeres	Extranjeros no comunitarios	5
201209	Septiembre 2012	Sotonera (La)	22904	Hombres	Españoles	235
201209	Septiembre 2012	Sotonera (La)	22904	Mujeres	Españoles	66
201209	Septiembre 2012	Sotonera (La)	22904	Hombres	Extranjeros comunitarios (UE-27)	12
201209	Septiembre 2012	Sotonera (La)	22904	Mujeres	Extranjeros comunitarios (UE-27)	5
201209	Septiembre 2012	Sotonera (La)	22904	Hombres	Extranjeros no comunitarios	21
201209	Septiembre 2012	Sotonera (La)	22904	Mujeres	Extranjeros no comunitarios	8
201209	Septiembre 2012	Sotonera (La)	22904	Mujeres	Extranjeros comunitarios (UE-27)	11
201209	Septiembre 2012	Sádaba	50230	Hombres	Españoles	225
201209	Septiembre 2012	Sádaba	50230	Mujeres	Españoles	155
201209	Septiembre 2012	Sádaba	50230	Hombres	Extranjeros comunitarios (UE-27)	19
201209	Septiembre 2012	Sádaba	50230	Mujeres	Extranjeros comunitarios (UE-27)	9
201209	Septiembre 2012	Sádaba	50230	Hombres	Extranjeros no comunitarios	1
201209	Septiembre 2012	Sádaba	50230	Mujeres	Extranjeros no comunitarios	4
201209	Septiembre 2012	Sádaba	50230	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Sástago	50240	Hombres	Españoles	253
201209	Septiembre 2012	Sástago	50240	Mujeres	Españoles	183
201209	Septiembre 2012	Sástago	50240	Mujeres		2
201209	Septiembre 2012	Sástago	50240	Hombres	Extranjeros comunitarios (UE-27)	28
201209	Septiembre 2012	Sástago	50240	Mujeres	Extranjeros comunitarios (UE-27)	18
201209	Septiembre 2012	Sástago	50240	Hombres	Extranjeros no comunitarios	72
201209	Septiembre 2012	Sástago	50240	Mujeres	Extranjeros no comunitarios	12
201209	Septiembre 2012	Sástago	50240	Hombres	Extranjeros comunitarios (UE-27)	5
201209	Septiembre 2012	Tabuenca	50249	Hombres	Españoles	37
201209	Septiembre 2012	Tabuenca	50249	Mujeres	Españoles	26
201209	Septiembre 2012	Tabuenca	50249	Hombres	Extranjeros comunitarios (UE-27)	8
201209	Septiembre 2012	Tabuenca	50249	Mujeres	Extranjeros comunitarios (UE-27)	3
201209	Septiembre 2012	Tabuenca	50249	Hombres	Extranjeros no comunitarios	1
201209	Septiembre 2012	Talamantes	50250	Hombres	Españoles	2
201209	Septiembre 2012	Talamantes	50250	Mujeres	Españoles	4
201209	Septiembre 2012	Tamarite de Litera	22225	Hombres	Españoles	632
201209	Septiembre 2012	Tamarite de Litera	22225	Mujeres	Españoles	364
201209	Septiembre 2012	Tamarite de Litera	22225	Hombres	Extranjeros comunitarios (UE-27)	31
201209	Septiembre 2012	Tamarite de Litera	22225	Mujeres	Extranjeros comunitarios (UE-27)	29
201209	Septiembre 2012	Tamarite de Litera	22225	Hombres	Extranjeros no comunitarios	59
201209	Septiembre 2012	Tamarite de Litera	22225	Mujeres	Extranjeros no comunitarios	10
201209	Septiembre 2012	Tamarite de Litera	22225	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Tarazona	50251	Hombres	Españoles	1574
201209	Septiembre 2012	Tarazona	50251	Mujeres	Españoles	1220
201209	Septiembre 2012	Tarazona	50251	Hombres	Extranjeros comunitarios (UE-27)	43
201209	Septiembre 2012	Tarazona	50251	Mujeres	Extranjeros comunitarios (UE-27)	33
201209	Septiembre 2012	Tarazona	50251	Hombres	Extranjeros no comunitarios	102
201209	Septiembre 2012	Tarazona	50251	Mujeres	Extranjeros no comunitarios	52
