Año	Municipio código	Municipio nombre	Contenedores de envases	Kg recogidos envases	Provincia codigo
2018	50122	Grisel	1	1650	50
2018	50123	Grisén	11	8877	50
2018	50124	Herrera de los Navarros	7	6028	50
2018	50125	Ibdes	6	4747	50
2018	50126	Illueca	35	29557	50
2018	50128	Isuerre	2	325	50
2018	50129	Jaraba	4	3460	50
2018	50130	Jarque de Moncayo	6	4350	50
2018	50131	Jaulín	7	2949	50
2018	50132	Joyosa (La)	15	15027	50
2018	50133	Lagata	2	899	50
2018	50134	Langa del Castillo	3	1524	50
2018	50135	Layana	2	1102	50
2018	50136	Lécera	10	5188	50
2018	50137	Leciñena	23	19079	50
2018	50138	Lechón	2	584	50
2018	50139	Letux	5	2636	50
2018	50140	Litago	4	3762	50
2018	50141	Lituénigo	3	2618	50
2018	50142	Lobera de Onsella	2	315	50
2018	50143	Longares	8	14079	50
2018	50144	Longás	2	336	50
2018	50146	Lucena de Jalón	4	2898	50
2018	50147	Luceni	17	13792	50
2018	50148	Luesia	8	3252	50
2018	50149	Luesma	2	390	50
2018	50150	Lumpiaque	12	10199	50
2018	50151	Luna	11	7616	50
2018	50152	Maella	22	30220	50
2018	50153	Magallón	40	21663	50
2018	50154	Mainar	3	1730	50
2018	50155	Malanquilla	2	1207	50
2018	50156	Maleján	10	4785	50
2018	50157	Malón	8	7677	50
2018	50159	Maluenda	11	10931	50
2018	50160	Mallén	43	59148	50
2018	50161	Manchones	2	1134	50
2018	50162	Mara	3	2126	50
2018	50163	María de Huerva	70	66290	50
2018	50164	Mediana de Aragón	7	3534	50
2018	50165	Mequinenza	29	40728	50
2018	50166	Mesones de Isuela	4	2661	50
2018	50167	Mezalocha	3	4375	50
2018	50168	Mianos	1	879	50
2018	50169	Miedes de Aragón	5	5218	50
2018	50170	Monegrillo	10	6667	50
2018	50171	Moneva	2	778	50
2018	50172	Monreal de Ariza	3	2391	50
2018	50173	Monterde	3	1931	50
2018	50174	Montón	2	1080	50
2018	50175	Morata de Jalón	13	14015	50
2018	50176	Morata de Jiloca	3	3241	50
2018	50177	Morés	5	3851	50
2018	50178	Moros	5	4184	50
2018	50179	Moyuela	4	1948	50
2018	50180	Mozota	5	1604	50
2018	50181	Muel	14	23359	50
2018	50182	Muela (La)	35	64057	50
2018	50183	Munébrega	5	4632	50
2018	50184	Murero	2	1364	50
2018	50185	Murillo de Gállego	7	4807	50
2018	50186	Navardún	2	430	50
2018	50187	Nigüella	1	793	50
2018	50188	Nombrevilla	2	355	50
2018	50189	Nonaspe	11	14537	50
2018	50190	Novallas	14	18435	50
2018	50191	Novillas	15	10285	50
2018	50192	Nuévalos	4	3816	50
2018	50193	Nuez de Ebro	25	9891	50
2018	50194	Olvés	2	1195	50
2018	50195	Orcajo	2	653	50
2018	50196	Orera	2	1379	50
2018	50197	Orés	2	1112	50
2018	50198	Oseja	1	534	50
2018	50199	Osera de Ebro	10	4674	50
2018	50200	Paniza	7	11468	50
2018	50201	Paracuellos de Jiloca	6	6701	50
2018	50202	Paracuellos de la Ribera	3	1966	50
2018	50203	Pastriz	30	15510	50
2018	50204	Pedrola	41	49044	50
2018	50205	Pedrosas (Las)	2	1112	50
2018	50206	Perdiguera	18	9484	50
2018	50207	Piedratajada	3	1154	50
2018	50208	Pina de Ebro	25	29928	50
2018	50209	Pinseque	30	54683	50
2018	50210	Pintanos (Los)	4	388	50
2018	50211	Plasencia de Jalón	6	3852	50
2018	50212	Pleitas	3	582	50
2018	50213	Plenas	3	770	50
2018	50214	Pomer	1	262	50
2018	50215	Pozuel de Ariza	1	264	50
2018	50216	Pozuelo de Aragón	10	5293	50
2018	50217	Pradilla de Ebro	5	7982	50
2018	50218	Puebla de Albortón	2	921	50
2018	50219	Puebla de Alfindén (La)	77	72108	50
2018	50220	Puendeluna	1	483	50
2018	50221	Purujosa	2	359	50
2018	50222	Quinto	22	24090	50
2018	50223	Remolinos	15	15453	50
2018	50224	Retascón	2	837	50
2018	50225	Ricla	30	35392	50
2018	50227	Romanos	2	1364	50
2018	50228	Rueda de Jalón	5	3864	50
2018	50229	Ruesca	1	828	50
2018	50230	Sádaba	28	14131	50
2018	50231	Salillas de Jalón	6	3730	50
2018	50232	Salvatierra de Esca	9	5824	50
2018	50233	Samper del Salz	2	846	50
2018	50234	San Martín de la Virgen de Moncayo	6	6314	50
2018	50235	San Mateo de Gállego	59	59960	50
2018	50236	Santa Cruz de Grío	3	1443	50
2018	50237	Santa Cruz de Moncayo	3	2662	50
2018	50238	Santa Eulalia de Gállego	2	2720	50
2018	50239	Santed	2	722	50
2018	50240	Sástago	16	14442	50
2018	50241	Saviñán	8	8035	50
2018	50242	Sediles	2	1149	50
2018	50243	Sestrica	5	3758	50
2018	50244	Sierra de Luna	6	2623	50
2018	50245	Sigüés	4	2582	50
2018	50246	Sisamón	1	379	50
2018	50247	Sobradiel	17	15255	50
2018	50248	Sos del Rey Católico	14	6169	50
2018	50249	Tabuenca	12	6235	50
2018	50250	Talamantes	5	980	50
2018	50251	Tarazona	80	192077	50
2018	50252	Tauste	58	109932	50
2018	50253	Terrer	6	5506	50
2018	50254	Tierga	3	1845	50
2018	50255	Tobed	3	2575	50
2018	50256	Torralba de los Frailes	2	1008	50
2018	50257	Torralba de Ribota	2	2080	50
