Comarca código	Comarca nombre	Superficie (km2)	Población	Densidad de población (hab/km2)	Año
17	D.C. Zaragoza	2288,85	754880,0	329,807545273827	2012
17	D.C. Zaragoza	2288,85	748360,0	326,958953186098	2011
17	D.C. Zaragoza	2288,85	746719,0	326,241999257269	2010
17	D.C. Zaragoza	2288,85	743280,0	324,73949800118	2009
17	D.C. Zaragoza	2288,85	731315,0	319,511981999694	2008
17	D.C. Zaragoza	2288,85	714604,0	312,210935622693	2007
17	D.C. Zaragoza	2288,85	702662,0	306,993468335627	2006
17	D.C. Zaragoza	2288,85	697532,0	304,752168119361	2005
17	D.C. Zaragoza	2288,85	685873,0	299,658343709723	2004
17	D.C. Zaragoza	2288,85	670239,0	292,827839307949	2003
17	D.C. Zaragoza	2288,85	662941,0	289,639338532451	2002
17	D.C. Zaragoza	2288,85	651622,0	284,694060335977	2001
17	D.C. Zaragoza	2288,85	643602,0	281,190117307818	2000
17	D.C. Zaragoza	2288,85	640346,0	279,767568866461	1999
17	D.C. Zaragoza	2288,85	639411,0	279,359066780261	1998
17	D.C. Zaragoza	2288,85	636833,0	278,232736963978	1996
18	Ribera Baja del Ebro	989,86	8446,0	8,53251975026771	2020
18	Ribera Baja del Ebro	989,86	8450,0	8,5365607257592	2019
18	Ribera Baja del Ebro	989,86	8760,0	8,84973632634918	2016
18	Ribera Baja del Ebro	989,86	8964,0	9,05582607641485	2015
18	Ribera Baja del Ebro	989,86	9102,0	9,19523973087103	2014
18	Ribera Baja del Ebro	989,86	9223,0	9,31747923948841	2013
18	Ribera Baja del Ebro	989,86	9349,0	9,44476996747015	2012
18	Ribera Baja del Ebro	989,86	9412,0	9,50841533146101	2011
18	Ribera Baja del Ebro	989,86	9452,0	9,54882508637585	2010
18	Ribera Baja del Ebro	989,86	9333,0	9,42860606550421	2009
18	Ribera Baja del Ebro	989,86	9240,0	9,33465338532722	2008
18	Ribera Baja del Ebro	989,86	9155,0	9,24878265613319	2007
18	Ribera Baja del Ebro	989,86	9197,0	9,29121289879377	2006
18	Ribera Baja del Ebro	989,86	9223,0	9,31747923948841	2005
18	Ribera Baja del Ebro	989,86	9230,0	9,32455094659851	2004
18	Ribera Baja del Ebro	989,86	9292,0	9,38718606671651	2003
18	Ribera Baja del Ebro	989,86	9418,0	9,51447679469824	2002
18	Ribera Baja del Ebro	989,86	9516,0	9,61348069423959	2001
18	Ribera Baja del Ebro	989,86	9566,0	9,66399288788313	2000
18	Ribera Baja del Ebro	989,86	9664,0	9,76299678742448	1999
18	Ribera Baja del Ebro	989,86	9539,0	9,63671630331562	1998
18	Ribera Baja del Ebro	989,86	9769,0	9,86907239407593	1996
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	14998,0	15,0389058238408	2020
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	14721,0	14,7611503288946	2019
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	14521,0	14,5606048451789	2016
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	14908,0	14,9486603561688	2015
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	14994,0	15,0348949141665	2014
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	15008,0	15,0489330980266	2013
