Año	Población	Comarca código	Comarca nombre
2009	11214,0	21	Campo de Cariñena
2009	5288,0	22	Campo de Belchite
2009	7225,0	23	Bajo Martín
2009	6322,0	24	Campo de Daroca
2009	14442,0	25	Jiloca
2009	9269,0	26	Cuencas Mineras
2009	11601,0	27	Andorra-Sierra de Arcos
2009	30370,0	28	Bajo Aragón
2009	47361,0	29	Comunidad de Teruel
2009	3780,0	30	Maestrazgo
2009	4968,0	31	Sierra de Albarracín
2009	8792,0	32	Gúdar-Javalambre
2009	8943,0	33	Matarraña / Matarranya
2010	18664,0	01	La Jacetania
2010	14921,0	02	Alto Gállego
2010	7718,0	03	Sobrarbe
2010	13473,0	04	La Ribagorza
2010	33331,0	05	Cinco Villas
2010	68428,0	06	Hoya de Huesca / Plana de Uesca
2010	24410,0	07	Somontano de Barbastro
2010	24051,0	08	Cinca Medio
2010	19161,0	09	La Litera / La Llitera
2010	20942,0	10	Los Monegros
2010	24670,0	11	Bajo Cinca / Baix Cinca
2010	14730,0	12	Tarazona y el Moncayo
2010	15517,0	13	Campo de Borja
2010	7617,0	14	Aranda
2010	27827,0	15	Ribera Alta del Ebro
2010	30533,0	16	Valdejalón
2010	746719,0	17	D.C. Zaragoza
2010	9452,0	18	Ribera Baja del Ebro
2010	15016,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010	42013,0	20	Comunidad de Calatayud
2010	11173,0	21	Campo de Cariñena
2010	5260,0	22	Campo de Belchite
2010	7135,0	23	Bajo Martín
2010	6192,0	24	Campo de Daroca
2010	14142,0	25	Jiloca
2010	9094,0	26	Cuencas Mineras
2010	11523,0	27	Andorra-Sierra de Arcos
2010	30311,0	28	Bajo Aragón
2010	46957,0	29	Comunidad de Teruel
2010	3682,0	30	Maestrazgo
2010	4930,0	31	Sierra de Albarracín
2010	8610,0	32	Gúdar-Javalambre
2010	8893,0	33	Matarraña / Matarranya
2011	18709,0	01	La Jacetania
2011	14820,0	02	Alto Gállego
2011	7790,0	03	Sobrarbe
2011	13395,0	04	La Ribagorza
2011	33150,0	05	Cinco Villas
2011	68484,0	06	Hoya de Huesca / Plana de Uesca
2011	24304,0	07	Somontano de Barbastro
2011	24128,0	08	Cinca Medio
2011	19135,0	09	La Litera / La Llitera
2011	20839,0	10	Los Monegros
2011	24609,0	11	Bajo Cinca / Baix Cinca
2011	14765,0	12	Tarazona y el Moncayo
2011	15446,0	13	Campo de Borja
2011	7501,0	14	Aranda
2011	27775,0	15	Ribera Alta del Ebro
2011	30018,0	16	Valdejalón
2011	748360,0	17	D.C. Zaragoza
2011	9412,0	18	Ribera Baja del Ebro
2011	15077,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2011	41013,0	20	Comunidad de Calatayud
2011	11350,0	21	Campo de Cariñena
2011	5284,0	22	Campo de Belchite
2011	7057,0	23	Bajo Martín
2011	6322,0	24	Campo de Daroca
2011	13937,0	25	Jiloca
2011	9043,0	26	Cuencas Mineras
2011	11450,0	27	Andorra-Sierra de Arcos
2011	30341,0	28	Bajo Aragón
2011	46848,0	29	Comunidad de Teruel
2011	3670,0	30	Maestrazgo
2011	4981,0	31	Sierra de Albarracín
2011	8475,0	32	Gúdar-Javalambre
2011	8805,0	33	Matarraña / Matarranya
2012	18537,0	01	La Jacetania
2012	14641,0	02	Alto Gállego
2012	7812,0	03	Sobrarbe
2012	13182,0	04	La Ribagorza
2012	32661,0	05	Cinco Villas
2012	68186,0	06	Hoya de Huesca / Plana de Uesca
2012	24428,0	07	Somontano de Barbastro
2012	24145,0	08	Cinca Medio
2012	18961,0	09	La Litera / La Llitera
2012	20633,0	10	Los Monegros
2012	24828,0	11	Bajo Cinca / Baix Cinca
2012	14666,0	12	Tarazona y el Moncayo
2012	15371,0	13	Campo de Borja
2012	7412,0	14	Aranda
2012	27913,0	15	Ribera Alta del Ebro
2012	29730,0	16	Valdejalón
2012	754880,0	17	D.C. Zaragoza
2012	9349,0	18	Ribera Baja del Ebro
