Año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2018	44	Teruel	87	Asistencia en establecimientos residenciales	38
2018	44	Teruel	88	Actividades de servicios sociales sin alojamiento	42
2018	44	Teruel	90	Actividades de creación, artísticas y espectáculos	277
2018	44	Teruel	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	56
2018	44	Teruel	92	Actividades de juegos de azar y apuestas	82
2018	44	Teruel	93	Actividades deportivas, recreativas y de entretenimiento	193
2018	44	Teruel	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	158
2018	44	Teruel	96	Otros servicios personales	709
2018	50	Zaragoza	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	3254
2018	50	Zaragoza	02	Silvicultura y explotación forestal	69
2018	50	Zaragoza	05	Extracción de antracita, hulla y lignito	5
2018	50	Zaragoza	07	Extracción de minerales metálicos	2
2018	50	Zaragoza	08	Otras industrias extractivas	114
2018	50	Zaragoza	09	Actividades de apoyo a las industrias extractivas	2
2018	50	Zaragoza	10	Industria de la alimentación	932
2018	50	Zaragoza	11	Fabricación de bebidas	174
2018	50	Zaragoza	13	Industria textil	235
2018	50	Zaragoza	14	Confección de prendas de vestir	402
2018	50	Zaragoza	15	Industria del cuero y del calzado	179
2018	50	Zaragoza	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	272
2018	50	Zaragoza	17	Industria del papel	70
2018	50	Zaragoza	18	Artes gráficas y reproducción de soportes grabados	545
2018	50	Zaragoza	20	Industria química	162
2018	50	Zaragoza	21	Fabricación de productos farmacéuticos	31
2018	50	Zaragoza	22	Fabricación de productos de caucho y plásticos	243
2018	50	Zaragoza	23	Fabricación de otros productos minerales no metálicos	257
2018	50	Zaragoza	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	51
2018	50	Zaragoza	25	Fabricación de productos metálicos, excepto maquinaria y equipo	1592
2018	50	Zaragoza	26	Fabricación de productos informáticos, electrónicos y ópticos	144
2018	50	Zaragoza	27	Fabricación de material y equipo eléctrico	163
2018	50	Zaragoza	28	Fabricación de maquinaria y equipo n.c.o.p.	530
2018	50	Zaragoza	29	Fabricación de vehículos de motor, remolques y semirremolques	193
2018	50	Zaragoza	30	Fabricación de otro material de transporte	45
2018	50	Zaragoza	31	Fabricación de muebles	464
2018	50	Zaragoza	32	Otras industrias manufactureras	428
2018	50	Zaragoza	33	Reparación e instalación de maquinaria y equipo	524
2018	50	Zaragoza	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1090
2018	50	Zaragoza	36	Captación, depuración y distribución de agua	30
2018	50	Zaragoza	37	Recogida y tratamiento de aguas residuales	138
2018	50	Zaragoza	38	Recogida, tratamiento y eliminación de residuos; valorización	106
2018	50	Zaragoza	39	Actividades de descontaminación y otros servicios de gestión de residuos	92
2018	50	Zaragoza	41	Construcción de edificios	5748
2018	50	Zaragoza	42	Ingeniería civil	906
2018	50	Zaragoza	43	Actividades de construcción especializada	10445
2018	50	Zaragoza	45	Venta y reparación de vehículos de motor y motocicletas	3111
2018	50	Zaragoza	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	9588
2018	50	Zaragoza	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	23595
2018	50	Zaragoza	49	Transporte terrestre y por tubería	5524
2018	50	Zaragoza	50	Transporte marítimo y por vías navegables interiores	5
2018	50	Zaragoza	51	Transporte aéreo	7
2018	50	Zaragoza	52	Almacenamiento y actividades anexas al transporte	1013
2018	50	Zaragoza	53	Actividades postales y de correos	887
2018	50	Zaragoza	55	Servicios de alojamiento	696
2018	50	Zaragoza	56	Servicios de comidas y bebidas	8861
2018	50	Zaragoza	58	Edición	389
2018	50	Zaragoza	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	370
2018	50	Zaragoza	60	Actividades de programación y emisión de radio y televisión	88
2018	50	Zaragoza	61	Telecomunicaciones	172
2018	50	Zaragoza	62	Programación, consultoría y otras actividades relacionadas con la informática	1403
2018	50	Zaragoza	63	Servicios de información	162
2018	50	Zaragoza	64	Servicios financieros, excepto seguros y fondos de pensiones	832
2018	50	Zaragoza	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	122
2018	50	Zaragoza	66	Actividades auxiliares a los servicios financieros y a los seguros	2799
2018	50	Zaragoza	68	Actividades inmobiliarias	16452
2018	50	Zaragoza	69	Actividades jurídicas y de contabilidad	5407
2018	50	Zaragoza	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	4199
2018	50	Zaragoza	72	Investigación y desarrollo	879
2018	50	Zaragoza	73	Publicidad y estudios de mercado	1557
2018	50	Zaragoza	74	Otras actividades profesionales, científicas y técnicas	2600
2018	50	Zaragoza	75	Actividades veterinarias	436
2018	50	Zaragoza	77	Actividades de alquiler	1419
2018	50	Zaragoza	78	Actividades relacionadas con el empleo	288
2018	50	Zaragoza	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	352
2018	50	Zaragoza	80	Actividades de seguridad e investigación	121
2018	50	Zaragoza	81	Servicios a edificios y actividades de jardinería	1159
2018	50	Zaragoza	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	4243
2018	50	Zaragoza	85	Educación	5397
2018	50	Zaragoza	86	Actividades sanitarias	4637
2018	50	Zaragoza	87	Asistencia en establecimientos residenciales	356
2018	50	Zaragoza	88	Actividades de servicios sociales sin alojamiento	348
2018	50	Zaragoza	90	Actividades de creación, artísticas y espectáculos	2315
2018	50	Zaragoza	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	300
2018	50	Zaragoza	92	Actividades de juegos de azar y apuestas	500
2018	50	Zaragoza	93	Actividades deportivas, recreativas y de entretenimiento	1083
2018	50	Zaragoza	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1219
2018	50	Zaragoza	96	Otros servicios personales	4702
