Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2019,0	1	9	Ocupaciones elementales	Hombres	12	Tarazona y el Moncayo
2019,0	1	9	Ocupaciones elementales	Mujeres	12	Tarazona y el Moncayo
2019,0	4	9	Ocupaciones elementales	Hombres	13	Campo de Borja
2019,0	5	9	Ocupaciones elementales	Mujeres	13	Campo de Borja
2019,0	1	9	Ocupaciones elementales	Hombres	14	Aranda
2019,0	17	9	Ocupaciones elementales	Hombres	15	Ribera Alta del Ebro
2019,0	14	9	Ocupaciones elementales	Mujeres	15	Ribera Alta del Ebro
2019,0	9	9	Ocupaciones elementales	Hombres	16	Valdejalón
2019,0	14	9	Ocupaciones elementales	Mujeres	16	Valdejalón
2019,0	121	9	Ocupaciones elementales	Hombres	17	D.C. Zaragoza
2019,0	184	9	Ocupaciones elementales	Mujeres	17	D.C. Zaragoza
2019,0	1	9	Ocupaciones elementales	Mujeres	18	Ribera Baja del Ebro
2019,0	1	9	Ocupaciones elementales	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	2	9	Ocupaciones elementales	Hombres	20	Comunidad de Calatayud
2019,0	3	9	Ocupaciones elementales	Mujeres	20	Comunidad de Calatayud
2019,0	1	9	Ocupaciones elementales	Hombres	21	Campo de Cariñena
2019,0	4	9	Ocupaciones elementales	Hombres	23	Bajo Martín
2019,0	1	9	Ocupaciones elementales	Mujeres	23	Bajo Martín
2019,0	1	9	Ocupaciones elementales	Hombres	25	Jiloca
2019,0	1	9	Ocupaciones elementales	Hombres	26	Cuencas Mineras
2019,0	1	9	Ocupaciones elementales	Mujeres	26	Cuencas Mineras
2019,0	2	9	Ocupaciones elementales	Hombres	28	Bajo Aragón
2019,0	2	9	Ocupaciones elementales	Mujeres	28	Bajo Aragón
2019,0	4	9	Ocupaciones elementales	Hombres	29	Comunidad de Teruel
2019,0	8	9	Ocupaciones elementales	Mujeres	29	Comunidad de Teruel
2019,0	1	9	Ocupaciones elementales	Mujeres	32	Gúdar-Javalambre
2019,0	1	9	Ocupaciones elementales	Mujeres	33	Matarraña / Matarranya
2019,0	4	9	Ocupaciones elementales	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	1	9	Ocupaciones elementales	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón
2015,0	7	1	Directores y gerentes	Hombres	17	D.C. Zaragoza
2015,0	4	1	Directores y gerentes	Mujeres	17	D.C. Zaragoza
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	01	La Jacetania
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	05	Cinco Villas
