Año	Municipio código	Municipio nombre	Total ingresos	Impuestos directos	Impuestos indirectos	Tasas y otros ingresos	Transferencias corrientes	Ingresos patrimoniales	Enajenación inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Tipo de presupuesto	Estado de la información
2004	22175	Peralta de Calasanz	309193,0	38351,0	8000,0	57263,0	78438,0	1111,0	30050,0	95980,0	0,0	0,0	Presupuestos	Consolidada
2004	22176	Peraltilla	435800,0	18120,0	0,0	12300,0	53650,0	11150,0	0,0	340580,0	0,0	0,0	Presupuestos	Consolidada
2004	22177	Perarrúa	1107823,44	20580,0	0,0	19300,0	50690,0	4800,0	0,0	1012453,44	0,0	0,0	Presupuestos	Consolidada
2004	22178	Pertusa	386659,4	43405,8	19557,88	11636,92	75868,35	15490,42	0,0	220700,03	0,0	0,0	Presupuestos	Consolidada
2004	22181	Piracés	154216,31	19876,54	1274,68	6230,61	28852,97	7760,9	0,0	90220,61	0,0	0,0	Presupuestos	Consolidada
2004	22182	Plan	408534,82	60581,73	0,0	96847,21	102214,96	12128,45	0,0	118762,47	0,0	18000,0	Presupuestos	Consolidada
2004	22184	Poleñino	470881,53	74800,0	12000,0	25410,53	96300,0	16370,0	0,0	246000,0	0,0	1,0	Presupuestos	Consolidada
2004	22186	Pozán de Vero	244659,42	23282,74	0,0	36810,62	75137,41	6457,6	0,0	102971,05	0,0	0,0	Presupuestos	Consolidada
2004	22187	Puebla de Castro (La)	408555,45	104535,52	13000,0	95935,89	98330,0	52,02	12500,0	53622,83	0,0	30579,19	Presupuestos	Consolidada
2004	22188	Puente de Montañana											Presupuestos	Sin información
2004	22189	Puértolas	1098088,31	24000,0	11000,0	19114,25	68050,0	12540,0	0,0	795384,06	0,0	168000,0	Presupuestos	Consolidada
2004	22190	Pueyo de Araguás (El)	395031,96	17760,6	2045,16	28504,23	74486,88	35361,88	0,0	226944,3	0,0	9928,91	Presupuestos	Consolidada
2004	22193	Pueyo de Santa Cruz	371047,0	50675,0	4000,0	35894,0	70694,0	2145,0	120,0	177519,0	0,0	30000,0	Presupuestos	Consolidada
2004	22195	Quicena	149171,83	31077,52	42000,0	13573,61	37050,7	470,0	0,0	0,0	0,0	25000,0	Presupuestos	Consolidada
2004	22197	Robres	389660,0	100860,0	10000,0	62206,0	132832,0	14262,0	0,0	63500,0	0,0	6000,0	Presupuestos	Consolidada
2004	22199	Sabiñánigo	9924790,0	2438500,0	756000,0	3632333,0	1682864,0	335690,0	131904,0	935499,0	12000,0	0,0	Presupuestos	Consolidada
2004	22200	Sahún											Presupuestos	Sin información
2004	22201	Salas Altas	372100,0	37800,0	0,0	78012,0	81828,0	4300,0	0,0	170160,0	0,0	0,0	Presupuestos	Consolidada
2004	22202	Salas Bajas	370054,0	34174,0	0,0	50580,0	53800,0	0,0	0,0	231500,0	0,0	0,0	Presupuestos	Consolidada
