Año	Nº Accidentes	Código	Municipio	Ord_Temporalidad	Temporalidad	Sector Código	Sector Descripción
2004,0	2	44216	Teruel	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	56	44216	Teruel	1	Indefinido	2	Industria y energía
2004,0	35	44216	Teruel	2	Temporal	2	Industria y energía
2004,0	1	44216	Teruel	3	Sin clasificar	2	Industria y energía
2004,0	31	44216	Teruel	1	Indefinido	3	Construcción
2004,0	93	44216	Teruel	2	Temporal	3	Construcción
2004,0	116	44216	Teruel	1	Indefinido	4	Servicios
2004,0	91	44216	Teruel	2	Temporal	4	Servicios
2004,0	3	44216	Teruel	3	Sin clasificar	4	Servicios
2004,0	4	50008	Alagón	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	6	50008	Alagón	2	Temporal	1	Agricultura, ganadería y pesca
2004,0	61	50008	Alagón	1	Indefinido	2	Industria y energía
2004,0	58	50008	Alagón	2	Temporal	2	Industria y energía
2004,0	3	50008	Alagón	1	Indefinido	3	Construcción
2004,0	6	50008	Alagón	2	Temporal	3	Construcción
2004,0	12	50008	Alagón	1	Indefinido	4	Servicios
2004,0	38	50008	Alagón	2	Temporal	4	Servicios
2004,0	7	50025	Almunia de Doña Godina (La)	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	7	50025	Almunia de Doña Godina (La)	2	Temporal	1	Agricultura, ganadería y pesca
2004,0	9	50025	Almunia de Doña Godina (La)	1	Indefinido	2	Industria y energía
2004,0	5	50025	Almunia de Doña Godina (La)	2	Temporal	2	Industria y energía
2004,0	6	50025	Almunia de Doña Godina (La)	1	Indefinido	3	Construcción
2004,0	15	50025	Almunia de Doña Godina (La)	2	Temporal	3	Construcción
2004,0	46	50025	Almunia de Doña Godina (La)	1	Indefinido	4	Servicios
2004,0	29	50025	Almunia de Doña Godina (La)	2	Temporal	4	Servicios
2004,0	3	50067	Calatayud	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	7	50067	Calatayud	2	Temporal	1	Agricultura, ganadería y pesca
2004,0	38	50067	Calatayud	1	Indefinido	2	Industria y energía
2004,0	31	50067	Calatayud	2	Temporal	2	Industria y energía
2004,0	14	50067	Calatayud	1	Indefinido	3	Construcción
2004,0	46	50067	Calatayud	2	Temporal	3	Construcción
2004,0	119	50067	Calatayud	1	Indefinido	4	Servicios
2004,0	53	50067	Calatayud	2	Temporal	4	Servicios
2004,0	14	50074	Caspe	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	24	50074	Caspe	2	Temporal	1	Agricultura, ganadería y pesca
2004,0	10	50074	Caspe	1	Indefinido	2	Industria y energía
2004,0	14	50074	Caspe	2	Temporal	2	Industria y energía
2004,0	5	50074	Caspe	1	Indefinido	3	Construcción
2004,0	19	50074	Caspe	2	Temporal	3	Construcción
2004,0	46	50074	Caspe	1	Indefinido	4	Servicios
2004,0	42	50074	Caspe	2	Temporal	4	Servicios
2004,0	148	50089	Cuarte de Huerva	1	Indefinido	2	Industria y energía
2004,0	71	50089	Cuarte de Huerva	2	Temporal	2	Industria y energía
2004,0	23	50089	Cuarte de Huerva	1	Indefinido	3	Construcción
2004,0	79	50089	Cuarte de Huerva	2	Temporal	3	Construcción
2004,0	51	50089	Cuarte de Huerva	1	Indefinido	4	Servicios
2004,0	48	50089	Cuarte de Huerva	2	Temporal	4	Servicios
