Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Gastos, fondo de contingencia
2004	22177	Perarrúa	Presupuestos	Consolidada	1107823,44	2223,75	38616,11	600,0	14750,0	1033812,85	0,0	0,0	17820,73	
2004	22178	Pertusa	Presupuestos	Consolidada	386659,4	27402,0	47911,37	1500,01	5734,87	299926,15	0,0	0,0	4185,0	
2004	22181	Piracés	Presupuestos	Consolidada	154216,31	10344,4	34849,99	1171,97	3296,54	104553,41	0,0	0,0	0,0	
2004	22182	Plan	Presupuestos	Consolidada	408534,82	81452,29	134811,29	4434,6	35642,09	152194,55	0,0	0,0	0,0	
2004	22184	Poleñino	Presupuestos	Consolidada	431225,47	46882,61	105300,0	3500,0	13200,0	247800,0	0,0	0,0	14542,86	
2004	22186	Pozán de Vero	Presupuestos	Consolidada	244659,42	53189,43	53813,52	775,72	9037,98	124236,7	0,0	0,0	3606,07	
2004	22187	Puebla de Castro (La)	Presupuestos	Consolidada	408555,45	75521,45	142090,91	3877,17	24420,25	159139,65	0,0	0,0	3506,02	
2004	22188	Puente de Montañana	Presupuestos	Sin información										
2004	22189	Puértolas	Presupuestos	Consolidada	1098088,31	0,0	76200,0	9450,0	12200,0	855238,31	0,0	0,0	145000,0	
2004	22190	Pueyo de Araguás (El)	Presupuestos	Consolidada	395031,96	42615,51	66639,64	215,28	13746,46	269662,27	0,0	0,0	2152,8	
2004	22193	Pueyo de Santa Cruz	Presupuestos	Consolidada	371047,0	47329,0	73980,0	1210,0	3050,0	241053,0	0,0	0,0	4425,0	
2004	22195	Quicena	Presupuestos	Consolidada	149171,83	26614,07	64002,86	2500,0	13408,1	42462,93	0,0	0,0	183,87	
2004	22197	Robres	Presupuestos	Consolidada	389660,0	97100,0	84850,0	2600,0	45300,0	153200,0	0,0	0,0	6610,0	
2004	22199	Sabiñánigo	Presupuestos	Consolidada	9924790,0	2981505,0	2250223,0	137000,0	322201,0	3165396,0	557177,0	12000,0	499288,0	
2004	22200	Sahún	Presupuestos	Sin información										
2004	22201	Salas Altas	Presupuestos	Consolidada	372100,0	47600,0	83000,0	0,0	43600,0	197900,0	0,0	0,0	0,0	
2004	22202	Salas Bajas	Presupuestos	Consolidada	370054,0	26950,0	61100,0	3000,0	15004,0	264000,0	0,0	0,0	0,0	
2004	22203	Salillas	Presupuestos	Sin información										
2004	22204	Sallent de Gállego	Presupuestos	Consolidada	2247182,47	608037,22	578160,0	20975,95	242653,74	711496,46	11660,0	0,0	74199,1	
2004	22205	San Esteban de Litera	Presupuestos	Consolidada	647000,0	88000,0	283187,0	1203,0	15759,0	248033,0	0,0	0,0	10818,0	
2004	22206	Sangarrén	Presupuestos	Consolidada	375000,0	53050,0	91560,0	4160,0	13610,0	203120,0	2500,0	0,0	7000,0	
2004	22207	San Juan de Plan	Presupuestos	Consolidada	160145,16	7900,52	42994,35	161,77	18020,91	91067,61	0,0	0,0	0,0	
2004	22208	Santa Cilia	Presupuestos	Sin información										
2004	22209	Santa Cruz de la Serós	Presupuestos	Sin información										
2004	22212	Santaliestra y San Quílez	Presupuestos	Consolidada	65513,89	13063,0	22450,89	0,0	0,0	30000,0	0,0	0,0	0,0	
2004	22213	Sariñena	Presupuestos	Consolidada	3336497,94	1145992,2	1371878,05	105102,53	216024,03	316390,0	0,0	0,0	181111,13	
2004	22214	Secastilla	Presupuestos	Sin información										
2004	22215	Seira	Presupuestos	Consolidada	744680,0	66567,0	165217,0	5200,0	21722,0	481974,0	0,0	0,0	4000,0	
2004	22217	Sena	Presupuestos	Consolidada	298580,0	63400,0	147000,0	2000,0	21200,0	56980,0	0,0	0,0	8000,0	
2004	22218	Senés de Alcubierre	Presupuestos	Consolidada	136771,0	7508,0	25613,0	90,0	2350,0	101210,0	0,0	0,0	0,0	
2004	22220	Sesa	Presupuestos	Sin información										
2004	22221	Sesué	Presupuestos	Consolidada	552100,0	70300,0	56375,0	1625,0	21100,0	396100,0	0,0	0,0	6600,0	
2004	22222	Siétamo	Presupuestos	Consolidada	507807,94	148027,78	81807,61	1500,0	20000,0	255420,78	0,0	0,0	1051,77	
2004	22223	Sopeira	Presupuestos	Consolidada	542000,0	37920,0	96060,0	550,0	10935,0	277335,0	0,0	118000,0	1200,0	
2004	22225	Tamarite de Litera	Presupuestos	Consolidada	3981863,35	775057,0	844820,11	78670,95	154488,6	1810838,44	5258,86	0,0	312729,39	
2004	22226	Tardienta	Presupuestos	Consolidada	1190807,0	225355,0	322143,0	2980,0	65938,0	532225,0	0,0	0,0	42166,0	
2004	22227	Tella-Sin	Presupuestos	Sin información										
2004	22228	Tierz	Presupuestos	Consolidada	243479,93	33100,0	32397,09	1201,02	10600,0	166000,0	0,0	0,0	181,82	
2004	22229	Tolva	Presupuestos	Sin información										
