Municipio código	Municipio nombre	Año	Orden	Siglas	Concejales
44262	Villarroya de los Pinares	2011	1	PP	1,0
44262	Villarroya de los Pinares	2011	2	PSOE	0,0
44262	Villarroya de los Pinares	2011	3	PAR	4,0
44262	Villarroya de los Pinares	2011	4	CHA	0,0
44262	Villarroya de los Pinares	2015	4	C's	1,0
44262	Villarroya de los Pinares	2015	5	PAR	4,0
44262	Villarroya de los Pinares	2015	6	PSOE	0,0
44262	Villarroya de los Pinares	2015	8	PP	0,0
44263	Villastar	2007	1	PSOE	2,0
44263	Villastar	2007	2	PP	0,0
44263	Villastar	2007	3	PAR	3,0
44263	Villastar	2007	4	CHA	2,0
44263	Villastar	2011	1	PP	2,0
44263	Villastar	2011	2	PSOE	2,0
44263	Villastar	2011	3	PAR	1,0
44263	Villastar	2011	4	CHA	2,0
44263	Villastar	2011	7	COMPROMISO CON ARAGON	0,0
44263	Villastar	2015	5	PAR	0,0
44263	Villastar	2015	6	PSOE	2,0
44263	Villastar	2015	7	CHA	3,0
44263	Villastar	2015	8	PP	2,0
44264	Villel	2007	1	PSOE	2,0
44264	Villel	2007	2	PP	1,0
44264	Villel	2007	3	PAR	4,0
44264	Villel	2011	1	PP	3,0
44264	Villel	2011	2	PSOE	2,0
44264	Villel	2011	3	PAR	2,0
44264	Villel	2015	4	C's	1,0
44264	Villel	2015	5	PAR	3,0
44264	Villel	2015	6	PSOE	2,0
44264	Villel	2015	8	PP	1,0
44265	Vinaceite	2007	1	PSOE	1,0
44265	Vinaceite	2007	2	PP	4,0
44265	Vinaceite	2007	3	PAR	0,0
44265	Vinaceite	2007	4	CHA	0,0
44265	Vinaceite	2011	1	PP	4,0
44265	Vinaceite	2011	2	PSOE	1,0
44265	Vinaceite	2011	3	PAR	1,0
44265	Vinaceite	2011	8	FIA	1,0
44265	Vinaceite	2015	4	C's	2,0
44265	Vinaceite	2015	5	PAR	1,0
44265	Vinaceite	2015	6	PSOE	0,0
44265	Vinaceite	2015	8	PP	4,0
44266	Visiedo	2007	1	PSOE	0,0
44266	Visiedo	2007	2	PP	1,0
44266	Visiedo	2007	3	PAR	3,0
44266	Visiedo	2007	4	CHA	1,0
44266	Visiedo	2011	1	PP	4,0
44266	Visiedo	2011	2	PSOE	0,0
44266	Visiedo	2011	3	PAR	1,0
44266	Visiedo	2011	4	CHA	0,0
44266	Visiedo	2015	5	PAR	1,0
44266	Visiedo	2015	6	PSOE	2,0
44266	Visiedo	2015	8	PP	2,0
44267	Vivel del Río Martín	2007	1	PSOE	0,0
44267	Vivel del Río Martín	2007	2	PP	0,0
44267	Vivel del Río Martín	2007	3	PAR	1,0
44267	Vivel del Río Martín	2007	4	CHA	0,0
44267	Vivel del Río Martín	2011	1	PP	2,0
44267	Vivel del Río Martín	2011	2	PSOE	0,0
44267	Vivel del Río Martín	2011	3	PAR	1,0
44267	Vivel del Río Martín	2011	4	CHA	0,0
44267	Vivel del Río Martín	2011	7	COMPROMISO CON ARAGON	0,0
44267	Vivel del Río Martín	2015	5	PAR	0,0
44267	Vivel del Río Martín	2015	6	PSOE	1,0
44267	Vivel del Río Martín	2015	8	PP	2,0
44267	Vivel del Río Martín	2015	12	COMPROMISO CON ARAGON	0,0
44268	Zoma (La)	2007	1	PSOE	1,0
44268	Zoma (La)	2007	2	PP	0,0
44268	Zoma (La)	2007	3	PAR	0,0
44268	Zoma (La)	2011	1	PP	0,0
44268	Zoma (La)	2011	2	PSOE	1,0
44268	Zoma (La)	2011	3	PAR	0,0
44268	Zoma (La)	2015	6	PSOE	1,0
44268	Zoma (La)	2015	8	PP	0,0
50001	Abanto	2007	1	PSOE	1,0
50001	Abanto	2007	2	PP	4,0
50001	Abanto	2007	3	PAR	0,0
50001	Abanto	2007	4	CHA	0,0
50001	Abanto	2007	5	IU	0,0
50001	Abanto	2011	1	PP	4,0
50001	Abanto	2011	2	PSOE	1,0
50001	Abanto	2011	3	PAR	0,0
50001	Abanto	2015	1	PP	5,0
50001	Abanto	2015	2	PSOE	0,0
50002	Acered	2007	1	PSOE	2,0
50002	Acered	2007	2	PP	1,0
50002	Acered	2007	3	PAR	2,0
50002	Acered	2007	4	CHA	0,0
50002	Acered	2007	5	IU	0,0
50002	Acered	2011	1	PP	0,0
50002	Acered	2011	2	PSOE	1,0
50002	Acered	2011	3	PAR	4,0
50002	Acered	2015	1	PP	0,0
50002	Acered	2015	2	PSOE	1,0
50002	Acered	2015	5	PAR	4,0
50002	Acered	2015	7	CHA	0,0
50003	Agón	2007	1	PSOE	4,0
50003	Agón	2007	2	PP	0,0
50003	Agón	2007	3	PAR	0,0
50003	Agón	2007	4	CHA	1,0
50003	Agón	2011	1	PP	0,0
50003	Agón	2011	2	PSOE	4,0
50003	Agón	2011	3	PAR	1,0
50003	Agón	2011	4	CHA	0,0
50003	Agón	2015	1	PP	0,0
50003	Agón	2015	2	PSOE	4,0
50003	Agón	2015	5	PAR	1,0
50003	Agón	2015	7	CHA	0,0
50004	Aguarón	2007	1	PSOE	5,0
50004	Aguarón	2007	2	PP	1,0
50004	Aguarón	2007	3	PAR	0,0
50004	Aguarón	2007	4	CHA	1,0
50004	Aguarón	2011	1	PP	1,0
50004	Aguarón	2011	2	PSOE	5,0
50004	Aguarón	2011	3	PAR	0,0
50004	Aguarón	2011	4	CHA	1,0
50004	Aguarón	2015	1	PP	2,0
50004	Aguarón	2015	2	PSOE	4,0
50004	Aguarón	2015	7	CHA	1,0
50005	Aguilón	2007	1	PSOE	0,0
50005	Aguilón	2007	2	PP	4,0
50005	Aguilón	2007	3	PAR	3,0
50005	Aguilón	2011	1	PP	4,0
50005	Aguilón	2011	2	PSOE	0,0
50005	Aguilón	2011	3	PAR	1,0
50005	Aguilón	2011	4	CHA	0,0
50005	Aguilón	2015	6	PSOE	3,0
50005	Aguilón	2015	8	PP	4,0
50006	Ainzón	2007	1	PSOE	6,0
50006	Ainzón	2007	2	PP	3,0
50006	Ainzón	2007	3	PAR	0,0
50006	Ainzón	2011	1	PP	4,0
50006	Ainzón	2011	2	PSOE	5,0
50006	Ainzón	2015	1	PP	4,0
50006	Ainzón	2015	2	PSOE	5,0
50007	Aladrén	2007	1	PSOE	0,0
50007	Aladrén	2007	2	PP	0,0
50007	Aladrén	2007	3	PAR	1,0
50007	Aladrén	2007	4	CHA	0,0
50007	Aladrén	2011	1	PP	0,0
50007	Aladrén	2011	2	PSOE	0,0
50007	Aladrén	2011	3	PAR	1,0
50007	Aladrén	2015	1	PP	0,0
50007	Aladrén	2015	2	PSOE	0,0
50007	Aladrén	2015	88	JUNTOS POR ALADRÉN	1,0
50008	Alagón	2007	1	PSOE	7,0
50008	Alagón	2007	2	PP	1,0
50008	Alagón	2007	3	PAR	4,0
50008	Alagón	2007	4	CHA	0,0
50008	Alagón	2007	5	IU	1,0
50008	Alagón	2011	1	PP	1,0
