Año	Municipio código	Municipio nombre	Rústica   Base imponible (miles de euros)	Rústica   Cuota (euros)
2001	44266	Visiedo	823,57	4118,0
2001	44267	Vivel del Río Martín	745,46	2982,0
2001	44268	Zoma (La)	109,63	329,0
2001	50001	Abanto	817,2	2452,0
2001	50002	Acered	607,66	4254,0
2001	50003	Agón	1256,28	8166,0
2001	50004	Aguarón	1414,24	9193,0
2001	50005	Aguilón	1185,24	5926,0
2001	50006	Ainzón	1504,2	8273,0
2001	50007	Aladrén	112,85	564,0
2001	50008	Alagón	7606,11	45637,0
2001	50009	Alarba	378,85	1137,0
2001	50010	Alberite de San Juan	420,43	2943,0
2001	50011	Albeta	118,23	828,0
2001	50012	Alborge	550,95	3140,0
2001	50013	Alcalá de Ebro	2626,74	15760,0
2001	50014	Alcalá de Moncayo	556,01	4448,0
2001	50015	Alconchel de Ariza	736,13	3681,0
2001	50016	Aldehuela de Liestos	502,79	1508,0
2001	50017	Alfajarín	5753,3	31643,0
2001	50018	Alfamén	12467,98	87276,0
2001	50019	Alforque	602,05	1806,0
2001	50020	Alhama de Aragón	788,59	5126,0
2001	50021	Almochuel	757,31	5301,0
2001	50022	Almolda (La)	3022,63	19647,0
2001	50023	Almonacid de la Cuba	1737,31	10424,0
2001	50024	Almonacid de la Sierra	7554,43	45327,0
2001	50025	Almunia de Doña Godina (La)	16712,73	145401,0
2001	50026	Alpartir	703,05	4570,0
2001	50027	Ambel	983,05	6390,0
2001	50028	Anento	670,99	4361,0
2001	50029	Aniñón	1048,4	3145,0
2001	50030	Añón de Moncayo	637,64	3188,0
2001	50031	Aranda de Moncayo	1158,33	4402,0
2001	50032	Arándiga	1401,04	7005,0
2001	50033	Ardisa	542,82	3420,0
2001	50034	Ariza	2185,94	9837,0
2001	50035	Artieda	464,46	2787,0
2001	50036	Asín	597,17	3882,0
2001	50037	Atea	726,01	2178,0
2001	50038	Ateca	2589,09	16829,0
2001	50039	Azuara	4659,89	37279,0
2001	50040	Badules	592,0	1776,0
2001	50041	Bagüés	202,57	891,0
2001	50042	Balconchán	228,82	686,0
2001	50043	Bárboles	4097,03	20075,0
2001	50044	Bardallur	2029,52	6089,0
2001	50045	Belchite	8216,32	53406,0
2001	50046	Belmonte de Gracián	949,12	2847,0
2001	50047	Berdejo	130,03	390,0
2001	50048	Berrueco	198,48	1191,0
2001	50050	Bijuesca	791,88	4751,0
2001	50051	Biota	8341,99	58394,0
2001	50052	Bisimbre	840,86	5466,0
2001	50053	Boquiñeni	3153,58	14979,0
2001	50054	Bordalba	684,59	4450,0
2001	50055	Borja	6258,25	48439,0
2001	50056	Botorrita	1348,17	8089,0
2001	50057	Brea de Aragón	192,89	849,0
2001	50058	Bubierca	731,77	2195,0
2001	50059	Bujaraloz	3723,05	21221,0
2001	50060	Bulbuente	873,86	5680,0
2001	50061	Bureta	544,23	3810,0
2001	50062	Burgo de Ebro (El)	4985,85	22436,0
2001	50063	Buste (El)	76,06	228,0
2001	50064	Cabañas de Ebro	2582,71	15496,0
2001	50065	Cabolafuente	677,76	3389,0
2001	50066	Cadrete	737,26	3686,0
2001	50067	Calatayud	6925,62	34628,0
2001	50068	Calatorao	8970,49	26911,0
2001	50069	Calcena	130,63	588,0
2001	50070	Calmarza	383,62	3069,0
2001	50071	Campillo de Aragón	642,19	3211,0
2001	50072	Carenas	272,3	1634,0
2001	50073	Cariñena	7275,79	21827,0
2001	50074	Caspe	22725,54	174987,0
2001	50075	Castejón de Alarba	304,75	914,0
2001	50076	Castejón de las Armas	227,63	1366,0
2001	50077	Castejón de Valdejasa	2547,4	16558,0
2001	50078	Castiliscar	3581,6	25071,0
2001	50079	Cervera de la Cañada	1170,99	7026,0
2001	50080	Cerveruela	160,56	482,0
2001	50081	Cetina	2136,43	6409,0
2001	50082	Cimballa	642,15	2569,0
2001	50083	Cinco Olivas	356,59	1070,0
2001	50084	Clarés de Ribota	321,63	965,0
2001	50085	Codo	578,62	2314,0
2001	50086	Codos	586,45	2932,0
2001	50087	Contamina	494,26	2966,0
2001	50088	Cosuenda	866,33	5198,0
2001	50089	Cuarte de Huerva	542,56	2713,0
2001	50090	Cubel	1047,18	3142,0
2001	50091	Cuerlas (Las)	871,7	5230,0
2001	50092	Chiprana	4299,3	12898,0
2001	50093	Chodes	908,32	2725,0
2001	50094	Daroca	3059,28	18356,0
2001	50095	Ejea de los Caballeros	83097,62	465347,0
2001	50096	Embid de Ariza	724,24	2173,0
2001	50098	Encinacorba	470,72	1883,0
2001	50099	Épila	17208,41	115296,0
2001	50100	Erla	2283,5	14843,0
2001	50101	Escatrón	2002,72	17223,0
2001	50102	Fabara	3545,17	17371,0
2001	50104	Farlete	2277,71	18222,0
2001	50105	Fayón	546,83	4375,0
2001	50106	Fayos (Los)	35,69	143,0
2001	50107	Figueruelas	3491,96	10476,0
2001	50108	Fombuena	135,6	407,0
2001	50109	Frago (El)	324,95	1950,0
2001	50110	Frasno (El)	996,24	5977,0
2001	50111	Fréscano	1888,02	8968,0
2001	50113	Fuendejalón	2782,6	12800,0
2001	50114	Fuendetodos	970,24	7762,0
2001	50115	Fuentes de Ebro	8413,0	54685,0
2001	50116	Fuentes de Jiloca	1092,09	6553,0
2001	50117	Gallocanta	471,55	2829,0
2001	50118	Gallur	8055,8	64446,0
2001	50119	Gelsa	3402,16	29259,0
2001	50120	Godojos	250,11	750,0
2001	50121	Gotor	377,42	1887,0
2001	50122	Grisel	576,0	2880,0
2001	50123	Grisén	1598,13	9589,0
2001	50124	Herrera de los Navarros	2544,69	16540,0
2001	50125	Ibdes	1757,93	10548,0
2001	50126	Illueca	362,46	1450,0
2001	50128	Isuerre	379,45	1138,0
2001	50129	Jaraba	739,68	5917,0
2001	50130	Jarque	996,36	3985,0
2001	50131	Jaulín	1100,36	6052,0
2001	50132	Joyosa (La)	1843,01	8054,0
2001	50133	Lagata	742,1	4824,0
2001	50134	Langa del Castillo	1237,23	3712,0
2001	50135	Layana	488,57	2589,0
2001	50136	Lécera	2416,67	19333,0
2001	50137	Leciñena	4669,2	28015,0
2001	50138	Lechón	763,26	2671,0
2001	50139	Letux	1262,74	8208,0
2001	50140	Litago	540,34	2702,0
2001	50141	Lituénigo	194,91	780,0
2001	50142	Lobera de Onsella	423,39	1863,0
2001	50143	Longares	2257,83	10160,0
2001	50144	Longás	337,9	1487,0
2001	50146	Lucena de Jalón	3178,06	15890,0
2001	50147	Luceni	4889,31	31292,0
2001	50148	Luesia	2124,12	16993,0
2001	50149	Luesma	244,19	733,0
2001	50150	Lumpiaque	1375,55	8941,0
2001	50151	Luna	16786,14	134289,0
2001	50152	Maella	5833,28	23333,0
2001	50153	Magallón	3968,38	27779,0
2001	50154	Mainar	988,5	2965,0
2001	50155	Malanquilla	483,05	1449,0
2001	50156	Maleján	0,0	0,0
2001	50157	Malón	898,42	4941,0
2001	50159	Maluenda	1999,4	9997,0
2001	50160	Mallén	6647,51	46533,0
2001	50161	Manchones	691,2	3802,0
2001	50162	Mara	1039,77	4159,0
2001	50163	María de Huerva	2007,19	12043,0
2001	50164	Mediana de Aragón	1753,79	14030,0
2001	50165	Mequinenza	5224,61	20898,0
2001	50166	Mesones de Isuela	1004,68	5023,0
2001	50167	Mezalocha	1805,88	14447,0
2001	50168	Mianos	388,16	2523,0
2001	50169	Miedes de Aragón	1576,67	4730,0
2001	50170	Monegrillo	3770,31	16966,0
2001	50171	Moneva	864,2	6179,0
2001	50172	Monreal de Ariza	2575,58	10302,0
2001	50173	Monterde	1487,72	9670,0
2001	50174	Montón	899,08	4495,0
2001	50175	Morata de Jalón	1346,0	4038,0
2001	50176	Morata de Jiloca	1199,75	5399,0
2001	50177	Morés	823,93	3708,0
2001	50178	Moros	3249,79	19499,0
2001	50179	Moyuela	1056,13	6865,0
2001	50180	Mozota	435,91	2398,0
