Año	Comarca código	Comarca nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2009	04	La Ribagorza	12139,0	2531,0	269,0	109,0	3280,0	34,0	33,0	21,0	36,0	233,0	3,0	9160,0	2597,0	14,0	21299,0
2009	05	Cinco Villas	19547,0	3621,0	555,0	36,0	4055,0	69,0	59,0	93,0	39,0	95,0	20,0	11397,0	2736,0	19,0	30944,0
2009	06	Hoya de Huesca / Plana de Uesca	37093,0	17525,0	2626,0	97,0	7179,0	78,0	250,0	453,0	55,0	185,0	9,0	32274,0	3772,0	45,0	69367,0
2009	07	Somontano de Barbastro	13844,0	3689,0	722,0	118,0	2386,0	35,0	58,0	89,0	44,0	96,0	5,0	9306,0	2043,0	21,0	23150,0
2009	08	Cinca Medio	11779,0	2941,0	564,0	17,0	2469,0	30,0	25,0	68,0	15,0	23,0	5,0	7742,0	1567,0	18,0	19521,0
2009	09	La Litera / La Llitera	10257,0	1805,0	307,0	15,0	3898,0	20,0	56,0	54,0	12,0	42,0	0,0	7942,0	1720,0	13,0	18199,0
2009	10	Los Monegros	11804,0	392,0	141,0	31,0	5055,0	48,0	62,0	25,0	34,0	88,0	11,0	8214,0	2302,0	25,0	20018,0
2009	11	Bajo Cinca / Baix Cinca	12076,0	1946,0	378,0	127,0	3070,0	34,0	40,0	89,0	16,0	32,0	5,0	7074,0	1316,0	21,0	19150,0
2009	12	Tarazona y el Moncayo	10768,0	1108,0	191,0	23,0	2997,0	25,0	23,0	24,0	3,0	41,0	4,0	5798,0	1347,0	12,0	16566,0
2009	13	Campo de Borja	9614,0	489,0	144,0	24,0	2388,0	20,0	30,0	25,0	11,0	37,0	6,0	4605,0	1421,0	10,0	14219,0
2009	14	Aranda	5803,0	727,0	139,0	6,0	2300,0	15,0	12,0	24,0	11,0	28,0	1,0	4553,0	1283,0	7,0	10356,0
2009	15	Ribera Alta del Ebro	13303,0	1416,0	248,0	23,0	2589,0	30,0	33,0	104,0	18,0	31,0	4,0	7132,0	2616,0	20,0	20435,0
2009	16	Valdejalón	15202,0	1558,0	234,0	33,0	4170,0	31,0	51,0	71,0	15,0	29,0	6,0	9669,0	3456,0	15,0	24871,0
2009	17	D.C. Zaragoza	337119,0	120699,0	20399,0	500,0	23220,0	492,0	386,0	5371,0	117,0	215,0	40,0	184058,0	12249,0	370,0	521177,0
2009	18	Ribera Baja del Ebro	5657,0	131,0	52,0	21,0	1336,0	10,0	27,0	13,0	10,0	27,0	0,0	2691,0	1058,0	6,0	8348,0
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	8077,0	855,0	216,0	18,0	2163,0	22,0	23,0	18,0	10,0	23,0	4,0	4822,0	1457,0	13,0	12899,0
2009	20	Comunidad de Calatayud	33129,0	5186,0	836,0	47,0	6915,0	76,0	68,0	101,0	53,0	197,0	11,0	18207,0	4688,0	29,0	51336,0
2009	21	Campo de Cariñena	7474,0	461,0	70,0	14,0	1762,0	23,0	19,0	16,0	11,0	30,0	9,0	3740,0	1323,0	2,0	11214,0
2009	22	Campo de Belchite	5606,0	25,0	19,0	9,0	915,0	10,0	9,0	7,0	25,0	27,0	3,0	1599,0	546,0	4,0	7205,0
2009	23	Bajo Martín	5792,0	390,0	48,0	11,0	665,0	12,0	10,0	10,0	10,0	26,0	2,0	2429,0	1235,0	10,0	8221,0
2009	24	Campo de Daroca	8788,0	273,0	49,0	56,0	1124,0	37,0	23,0	13,0	24,0	67,0	0,0	3023,0	1350,0	7,0	11811,0
2009	25	Jiloca	13315,0	969,0	112,0	29,0	3146,0	31,0	19,0	24,0	33,0	91,0	3,0	7510,0	3043,0	10,0	20825,0
2009	26	Cuencas Mineras	7976,0	862,0	109,0	20,0	2991,0	20,0	27,0	18,0	32,0	55,0	1,0	5885,0	1741,0	9,0	13861,0
2009	27	Andorra-Sierra de Arcos	7237,0	1273,0	108,0	17,0	1413,0	19,0	12,0	29,0	8,0	29,0	3,0	3983,0	1062,0	10,0	11220,0
