Año	Municipio código	Municipio nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2003	44216	Teruel	15147,0											11199,0			26346,0
2003	44217	Toril y Masegoso	88,0											10,0			98,0
2003	44218	Tormón	67,0											50,0			117,0
2003	44219	Tornos	407,0											116,0			523,0
2003	44220	Torralba de los Sisones	150,0											125,0			275,0
2003	44221	Torrecilla de Alcañiz	297,0											186,0			483,0
2003	44222	Torrecilla del Rebollar	192,0											117,0			309,0
2003	44223	Torre de Arcas	88,0											72,0			160,0
2003	44224	Torre de las Arcas	77,0											83,0			160,0
2003	44225	Torre del Compte	262,0											99,0			361,0
2003	44226	Torrelacárcel	223,0											282,0			505,0
2003	44227	Torre los Negros	123,0											90,0			213,0
2003	44228	Torremocha de Jiloca	116,0											128,0			244,0
2003	44229	Torres de Albarracín	271,0											53,0			324,0
2003	44230	Torrevelilla	181,0											82,0			263,0
2003	44231	Torrijas	190,0											177,0			367,0
2003	44232	Torrijo del Campo	469,0											82,0			551,0
2003	44234	Tramacastiel	144,0											216,0			360,0
2003	44235	Tramacastilla	256,0											53,0			309,0
2003	44236	Tronchón	154,0											104,0			258,0
2003	44237	Urrea de Gaén	422,0											246,0			668,0
2003	44238	Utrillas	1506,0											1118,0			2624,0
2003	44239	Valacloche	59,0											23,0			82,0
2003	44240	Valbona	248,0											296,0			544,0
2003	44241	Valdealgorfa	419,0											394,0			813,0
2003	44243	Valdecuenca	78,0											107,0			185,0
2003	44244	Valdelinares	181,0											22,0			203,0
2003	44245	Valdeltormo	261,0											230,0			491,0
2003	44246	Valderrobres	1129,0											663,0			1792,0
2003	44247	Valjunquera	399,0											80,0			479,0
2003	44249	Vallecillo (El)	128,0											16,0			144,0
2003	44250	Veguillas de la Sierra	43,0											48,0			91,0
2003	44251	Villafranca del Campo	252,0											236,0			488,0
2003	44252	Villahermosa del Campo	76,0											53,0			129,0
2003	44256	Villanueva del Rebollar de la Sierra	56,0											76,0			132,0
2003	44257	Villar del Cobo	287,0											58,0			345,0
2003	44258	Villar del Salz	153,0											25,0			178,0
2003	44260	Villarluengo	201,0											217,0			418,0
2003	44261	Villarquemado	481,0											340,0			821,0
2003	44262	Villarroya de los Pinares	184,0											125,0			309,0
2003	44263	Villastar	211,0											198,0			409,0
2003	44264	Villel	313,0											282,0			595,0
2003	44265	Vinaceite	242,0											51,0			293,0
2003	44266	Visiedo	142,0											113,0			255,0
2003	44267	Vivel del Río Martín	171,0											162,0			333,0
2003	44268	Zoma (La)	30,0											59,0			89,0
2003	50001	Abanto	147,0											159,0			306,0
2003	50002	Acered	186,0											194,0			380,0
2003	50003	Agón	126,0											57,0			183,0
2003	50004	Aguarón	519,0											378,0			897,0
2003	50005	Aguilón	481,0											47,0			528,0
2003	50006	Ainzón	766,0											226,0			992,0
2003	50007	Aladrén	56,0											147,0			203,0
2003	50008	Alagón	2434,0											1054,0			3488,0
2003	50009	Alarba	113,0											118,0			231,0
2003	50010	Alberite de San Juan	53,0											55,0			108,0
2003	50011	Albeta	91,0											99,0			190,0
2003	50012	Alborge	111,0											82,0			193,0
2003	50013	Alcalá de Ebro	168,0											95,0			263,0
2003	50014	Alcalá de Moncayo	160,0											147,0			307,0
2003	50015	Alconchel de Ariza	185,0											313,0			498,0
2003	50016	Aldehuela de Liestos	85,0											68,0			153,0
2003	50017	Alfajarín	959,0											428,0			1387,0
2003	50018	Alfamén	552,0											405,0			957,0
2003	50019	Alforque	98,0											76,0			174,0
2003	50020	Alhama de Aragón	724,0											483,0			1207,0
2003	50021	Almochuel	30,0											84,0			114,0
2003	50022	Almolda (La)	313,0											232,0			545,0
2003	50023	Almonacid de la Cuba	268,0											187,0			455,0
2003	50024	Almonacid de la Sierra	554,0											656,0			1210,0
2003	50025	Almunia de Doña Godina (La)	2589,0											1456,0			4045,0
2003	50026	Alpartir	359,0											268,0			627,0
2003	50027	Ambel	422,0											143,0			565,0
2003	50028	Anento	19,0											148,0			167,0
2003	50029	Aniñón	792,0											162,0			954,0
2003	50030	Añón de Moncayo	433,0											345,0			778,0
2003	50031	Aranda de Moncayo	352,0											322,0			674,0
2003	50032	Arándiga	623,0											59,0			682,0
2003	50033	Ardisa	78,0											79,0			157,0
2003	50034	Ariza	791,0											715,0			1506,0
2003	50035	Artieda	91,0											53,0			144,0
2003	50036	Asín	76,0											101,0			177,0
2003	50037	Atea	538,0											40,0			578,0
