Mes y año	Mes (código)	Mes nombre	Comarca código	Comarca nombre	Sección (1 letra) código	Sección (1 letra) descripción	Clasificación	Sexo	Número de contratos
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Mujeres	115
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Hombres	124
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Mujeres	58
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	S	Otros servicios	CNAE - 2009	Hombres	18
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	S	Otros servicios	CNAE - 2009	Mujeres	12
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	CNAE - 2009	Mujeres	22
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Hombres	42
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Mujeres	5
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	C	Industria manufacturera	CNAE - 2009	Hombres	85
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	C	Industria manufacturera	CNAE - 2009	Mujeres	35
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	F	Construcción	CNAE - 2009	Hombres	22
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	F	Construcción	CNAE - 2009	Mujeres	3
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Hombres	78
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Mujeres	44
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	H	Transporte y almacenamiento	CNAE - 2009	Hombres	6
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	H	Transporte y almacenamiento	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	I	Hostelería	CNAE - 2009	Hombres	86
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	I	Hostelería	CNAE - 2009	Mujeres	119
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	J	Información y comunicaciones	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	K	Actividades financieras y de seguros	CNAE - 2009	Hombres	2
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	K	Actividades financieras y de seguros	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	M	Actividades profesionales, científicas y técnicas	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	M	Actividades profesionales, científicas y técnicas	CNAE - 2009	Mujeres	5
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Hombres	17
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Mujeres	16
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Mujeres	6
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Hombres	5
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Mujeres	22
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Hombres	25
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Mujeres	3
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	S	Otros servicios	CNAE - 2009	Hombres	2
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	S	Otros servicios	CNAE - 2009	Mujeres	4
Agosto 2021	202108	Agosto	07	Somontano de Barbastro	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	CNAE - 2009	Mujeres	9
Agosto 2021	202108	Agosto	08	Cinca Medio	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Hombres	333
Agosto 2021	202108	Agosto	08	Cinca Medio	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Mujeres	11
Agosto 2021	202108	Agosto	08	Cinca Medio	B	Industrias extractivas	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	08	Cinca Medio	C	Industria manufacturera	CNAE - 2009	Hombres	95
Agosto 2021	202108	Agosto	08	Cinca Medio	C	Industria manufacturera	CNAE - 2009	Mujeres	26
Agosto 2021	202108	Agosto	08	Cinca Medio	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	CNAE - 2009	Hombres	1
Agosto 2021	202108	Agosto	08	Cinca Medio	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	08	Cinca Medio	F	Construcción	CNAE - 2009	Hombres	19
Agosto 2021	202108	Agosto	08	Cinca Medio	F	Construcción	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	08	Cinca Medio	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Hombres	23
Agosto 2021	202108	Agosto	08	Cinca Medio	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Mujeres	19
Agosto 2021	202108	Agosto	08	Cinca Medio	H	Transporte y almacenamiento	CNAE - 2009	Hombres	17
Agosto 2021	202108	Agosto	08	Cinca Medio	H	Transporte y almacenamiento	CNAE - 2009	Mujeres	2
Agosto 2021	202108	Agosto	08	Cinca Medio	I	Hostelería	CNAE - 2009	Hombres	53
Agosto 2021	202108	Agosto	08	Cinca Medio	I	Hostelería	CNAE - 2009	Mujeres	138
Agosto 2021	202108	Agosto	08	Cinca Medio	K	Actividades financieras y de seguros	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	08	Cinca Medio	M	Actividades profesionales, científicas y técnicas	CNAE - 2009	Hombres	29
Agosto 2021	202108	Agosto	08	Cinca Medio	M	Actividades profesionales, científicas y técnicas	CNAE - 2009	Mujeres	15
Agosto 2021	202108	Agosto	08	Cinca Medio	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Hombres	12
Agosto 2021	202108	Agosto	08	Cinca Medio	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Mujeres	25
Agosto 2021	202108	Agosto	08	Cinca Medio	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Hombres	2
Agosto 2021	202108	Agosto	08	Cinca Medio	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Mujeres	1
