Año	Nº Accidentes	Grupo	Descripción ocupación	Sexo	Código	Municipio
2010,0	6	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	22061	Binéfar
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	22112	Fraga
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	22125	Huesca
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	22130	Jaca
2010,0	3	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	22158	Monzón
2010,0	3	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	44013	Alcañiz
2010,0	4	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	44025	Andorra
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	44216	Teruel
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50008	Alagón
2010,0	3	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50025	Almunia de Doña Godina (La)
2010,0	3	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50067	Calatayud
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50074	Caspe
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50089	Cuarte de Huerva
2010,0	5	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50095	Ejea de los Caballeros
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50182	Muela (La)
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50219	Puebla de Alfindén (La)
2010,0	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50251	Tarazona
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50252	Tauste
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50272	Utebo
2010,0	57	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50297	Zaragoza
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	50298	Zuera
2010,0	40	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22048	Barbastro
2010,0	19	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22061	Binéfar
2010,0	32	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22112	Fraga
2010,0	97	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22125	Huesca
2010,0	6	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22130	Jaca
2010,0	72	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22158	Monzón
2010,0	20	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22199	Sabiñánigo
2010,0	40	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	44013	Alcañiz
2010,0	21	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	44025	Andorra
2010,0	47	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	44216	Teruel
2010,0	8	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50008	Alagón
2010,0	9	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50025	Almunia de Doña Godina (La)
2010,0	34	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50067	Calatayud
2010,0	6	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50074	Caspe
2010,0	73	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50089	Cuarte de Huerva
2010,0	43	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50095	Ejea de los Caballeros
2010,0	15	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50163	María de Huerva
2010,0	52	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50182	Muela (La)
2010,0	77	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50219	Puebla de Alfindén (La)
2010,0	14	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50251	Tarazona
2010,0	9	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50252	Tauste
2010,0	22	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50272	Utebo
2010,0	1154	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50297	Zaragoza
2010,0	32	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50298	Zuera
2010,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	22048	Barbastro
2010,0	5	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	22125	Huesca
2010,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	22130	Jaca
2010,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	22158	Monzón
2010,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	22199	Sabiñánigo
2010,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	44013	Alcañiz
2010,0	3	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	44025	Andorra
2010,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50008	Alagón
