Año	Mes (código)	Mes nombre	Mes y año	Sexo	Comarca código	Comarca nombre	Temporalidad	Modalidad	Grupo de tipo de contrato	Número de contratos
2021	202110	Octubre	Octubre 2021	Mujeres	11	Bajo Cinca / Baix Cinca	Temporal	Ligados a la formación	Prácticas	1
2021	202110	Octubre	Octubre 2021	Hombres	12	Tarazona y el Moncayo	Indefinido	Indefinido	Indef. Fomento	9
2021	202110	Octubre	Octubre 2021	Hombres	12	Tarazona y el Moncayo	Indefinido	Indefinido	Indef. Ordinario	1
2021	202110	Octubre	Octubre 2021	Mujeres	12	Tarazona y el Moncayo	Indefinido	Indefinido	Indef. Fomento	6
2021	202110	Octubre	Octubre 2021	Mujeres	12	Tarazona y el Moncayo	Indefinido	Indefinido	Indef. Ordinario	5
2021	202110	Octubre	Octubre 2021	Hombres	12	Tarazona y el Moncayo	Temporal	Obra o servicio	Obra o servicio	46
2021	202110	Octubre	Octubre 2021	Mujeres	12	Tarazona y el Moncayo	Temporal	Obra o servicio	Obra o servicio	27
2021	202110	Octubre	Octubre 2021	Hombres	12	Tarazona y el Moncayo	Temporal	Eventual por circunstancias de la producción	Eventual producción	247
2021	202110	Octubre	Octubre 2021	Mujeres	12	Tarazona y el Moncayo	Temporal	Eventual por circunstancias de la producción	Eventual producción	184
2021	202110	Octubre	Octubre 2021	Hombres	12	Tarazona y el Moncayo	Temporal	Interinidad	Interinidad	2
2021	202110	Octubre	Octubre 2021	Mujeres	12	Tarazona y el Moncayo	Temporal	Interinidad	Interinidad	19
2021	202110	Octubre	Octubre 2021	Hombres	12	Tarazona y el Moncayo	Temporal	Ligados a la formación	Prácticas	1
2021	202110	Octubre	Octubre 2021	Hombres	13	Campo de Borja	Indefinido	Indefinido	Indef. Fomento	5
2021	202110	Octubre	Octubre 2021	Hombres	13	Campo de Borja	Indefinido	Indefinido	Indef. Ordinario	10
2021	202110	Octubre	Octubre 2021	Mujeres	13	Campo de Borja	Indefinido	Indefinido	Indef. Fomento	7
2021	202110	Octubre	Octubre 2021	Mujeres	13	Campo de Borja	Indefinido	Indefinido	Indef. Ordinario	6
2021	202110	Octubre	Octubre 2021	Hombres	13	Campo de Borja	Temporal	Obra o servicio	Obra o servicio	326
2021	202110	Octubre	Octubre 2021	Mujeres	13	Campo de Borja	Temporal	Obra o servicio	Obra o servicio	99
2021	202110	Octubre	Octubre 2021	Hombres	13	Campo de Borja	Temporal	Eventual por circunstancias de la producción	Eventual producción	77
2021	202110	Octubre	Octubre 2021	Mujeres	13	Campo de Borja	Temporal	Eventual por circunstancias de la producción	Eventual producción	99
2021	202110	Octubre	Octubre 2021	Hombres	13	Campo de Borja	Temporal	Interinidad	Interinidad	12
2021	202110	Octubre	Octubre 2021	Mujeres	13	Campo de Borja	Temporal	Interinidad	Interinidad	26
2021	202110	Octubre	Octubre 2021	Hombres	13	Campo de Borja	Temporal	Ligados a la jubilación	Jubilación parcial	1
2021	202110	Octubre	Octubre 2021	Hombres	13	Campo de Borja	Temporal	Ligados a la formación	Prácticas	2
2021	202110	Octubre	Octubre 2021	Mujeres	13	Campo de Borja	Temporal	Ligados a la formación	Prácticas	1
2021	202110	Octubre	Octubre 2021	Hombres	14	Aranda	Indefinido	Indefinido	Indef. Fomento	4
2021	202110	Octubre	Octubre 2021	Hombres	14	Aranda	Indefinido	Indefinido	Indef. Ordinario	1
2021	202110	Octubre	Octubre 2021	Mujeres	14	Aranda	Indefinido	Indefinido	Indef. Fomento	4
2021	202110	Octubre	Octubre 2021	Mujeres	14	Aranda	Indefinido	Indefinido	Indef. Ordinario	4
2021	202110	Octubre	Octubre 2021	Hombres	14	Aranda	Temporal	Obra o servicio	Obra o servicio	26
2021	202110	Octubre	Octubre 2021	Mujeres	14	Aranda	Temporal	Obra o servicio	Obra o servicio	22
2021	202110	Octubre	Octubre 2021	Hombres	14	Aranda	Temporal	Eventual por circunstancias de la producción	Eventual producción	5
2021	202110	Octubre	Octubre 2021	Mujeres	14	Aranda	Temporal	Eventual por circunstancias de la producción	Eventual producción	6
2021	202110	Octubre	Octubre 2021	Mujeres	14	Aranda	Temporal	Interinidad	Interinidad	1
2021	202110	Octubre	Octubre 2021	Hombres	14	Aranda	Temporal	Ligados a la formación	Formación	3
2021	202110	Octubre	Octubre 2021	Mujeres	14	Aranda	Temporal	Ligados a la formación	Formación	17
2021	202110	Octubre	Octubre 2021	Hombres	15	Ribera Alta del Ebro	Indefinido	Indefinido	Indef. Fomento	36
2021	202110	Octubre	Octubre 2021	Hombres	15	Ribera Alta del Ebro	Indefinido	Indefinido	Indef. Ordinario	31
2021	202110	Octubre	Octubre 2021	Mujeres	15	Ribera Alta del Ebro	Indefinido	Indefinido	Indef. Fomento	18
2021	202110	Octubre	Octubre 2021	Mujeres	15	Ribera Alta del Ebro	Indefinido	Indefinido	Indef. Ordinario	10
2021	202110	Octubre	Octubre 2021	Hombres	15	Ribera Alta del Ebro	Temporal	Obra o servicio	Obra o servicio	248
2021	202110	Octubre	Octubre 2021	Mujeres	15	Ribera Alta del Ebro	Temporal	Obra o servicio	Obra o servicio	169
2021	202110	Octubre	Octubre 2021	Hombres	15	Ribera Alta del Ebro	Temporal	Eventual por circunstancias de la producción	Eventual producción	689
2021	202110	Octubre	Octubre 2021	Mujeres	15	Ribera Alta del Ebro	Temporal	Eventual por circunstancias de la producción	Eventual producción	345
2021	202110	Octubre	Octubre 2021	Hombres	15	Ribera Alta del Ebro	Temporal	Interinidad	Interinidad	13
2021	202110	Octubre	Octubre 2021	Mujeres	15	Ribera Alta del Ebro	Temporal	Interinidad	Interinidad	72
2021	202110	Octubre	Octubre 2021	Hombres	15	Ribera Alta del Ebro	Temporal	Ligados a la jubilación	Jubilación parcial	10
2021	202110	Octubre	Octubre 2021	Hombres	15	Ribera Alta del Ebro	Temporal	Ligados a la jubilación	Relevo	13
2021	202110	Octubre	Octubre 2021	Mujeres	15	Ribera Alta del Ebro	Temporal	Ligados a la jubilación	Jubilación parcial	1
2021	202110	Octubre	Octubre 2021	Mujeres	15	Ribera Alta del Ebro	Temporal	Ligados a la jubilación	Relevo	7
2021	202110	Octubre	Octubre 2021	Hombres	15	Ribera Alta del Ebro	Temporal	Ligados a la formación	Formación	8
2021	202110	Octubre	Octubre 2021	Hombres	15	Ribera Alta del Ebro	Temporal	Ligados a la formación	Prácticas	2
2021	202110	Octubre	Octubre 2021	Mujeres	15	Ribera Alta del Ebro	Temporal	Ligados a la formación	Formación	4
2021	202110	Octubre	Octubre 2021	Hombres	16	Valdejalón	Indefinido	Indefinido	Indef. Fomento	41
2021	202110	Octubre	Octubre 2021	Hombres	16	Valdejalón	Indefinido	Indefinido	Indef. Ordinario	24
2021	202110	Octubre	Octubre 2021	Mujeres	16	Valdejalón	Indefinido	Indefinido	Indef. Fomento	21
2021	202110	Octubre	Octubre 2021	Mujeres	16	Valdejalón	Indefinido	Indefinido	Indef. Ordinario	15
2021	202110	Octubre	Octubre 2021	Hombres	16	Valdejalón	Indefinido	Discapacitados	Minusválidos	1
2021	202110	Octubre	Octubre 2021	Hombres	16	Valdejalón	Temporal	Obra o servicio	Obra o servicio	416
2021	202110	Octubre	Octubre 2021	Mujeres	16	Valdejalón	Temporal	Obra o servicio	Obra o servicio	208
2021	202110	Octubre	Octubre 2021	Hombres	16	Valdejalón	Temporal	Eventual por circunstancias de la producción	Eventual producción	495
2021	202110	Octubre	Octubre 2021	Mujeres	16	Valdejalón	Temporal	Eventual por circunstancias de la producción	Eventual producción	300
2021	202110	Octubre	Octubre 2021	Hombres	16	Valdejalón	Temporal	Interinidad	Interinidad	13
2021	202110	Octubre	Octubre 2021	Mujeres	16	Valdejalón	Temporal	Interinidad	Interinidad	25
