Comarca código	Comarca nombre	Año	Siglas	Votos	Candidatura
12	Tarazona y el Moncayo	2019	PCTE	6,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
12	Tarazona y el Moncayo	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
12	Tarazona y el Moncayo	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
12	Tarazona y el Moncayo	2019	UDT	0,0	UNIÓN DE TODOS
13	Campo de Borja	2019	PSOE	2723,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
13	Campo de Borja	2019	PP	1732,0	PARTIDO POPULAR
13	Campo de Borja	2019	VOX	1150,0	VOX
13	Campo de Borja	2019	PODEMOS-IU	636,0	UNIDAS PODEMOS
13	Campo de Borja	2019	Cs	492,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
13	Campo de Borja	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
13	Campo de Borja	2019	M PAÍS-CHA-EQUO	248,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
13	Campo de Borja	2019	PACMA	38,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
13	Campo de Borja	2019	EB	23,0	ESCAÑOS EN BLANCO
13	Campo de Borja	2019	CHA	0,0	CHUNTA ARAGONESISTA
13	Campo de Borja	2019	MAS	9,0	MOVIMIENTO ARAGONES SOCIAL
13	Campo de Borja	2019	RECORTES CERO-GV	11,0	RECORTES CERO-GRUPO VERDE
13	Campo de Borja	2019	PUM+J	3,0	POR UN MUNDO MÁS JUSTO
13	Campo de Borja	2019	PCPE	6,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
13	Campo de Borja	2019	FIA	8,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
13	Campo de Borja	2019	PCTE	8,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
13	Campo de Borja	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
13	Campo de Borja	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
13	Campo de Borja	2019	UDT	0,0	UNIÓN DE TODOS
14	Aranda	2019	PSOE	1127,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
14	Aranda	2019	PP	1038,0	PARTIDO POPULAR
14	Aranda	2019	VOX	754,0	VOX
14	Aranda	2019	PODEMOS-IU	186,0	UNIDAS PODEMOS
14	Aranda	2019	Cs	277,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
14	Aranda	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
14	Aranda	2019	M PAÍS-CHA-EQUO	137,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
14	Aranda	2019	PACMA	8,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
14	Aranda	2019	EB	7,0	ESCAÑOS EN BLANCO
14	Aranda	2019	CHA	0,0	CHUNTA ARAGONESISTA
14	Aranda	2019	MAS	20,0	MOVIMIENTO ARAGONES SOCIAL
14	Aranda	2019	RECORTES CERO-GV	4,0	RECORTES CERO-GRUPO VERDE
14	Aranda	2019	PUM+J	1,0	POR UN MUNDO MÁS JUSTO
14	Aranda	2019	PCPE	1,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
14	Aranda	2019	FIA	1,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
14	Aranda	2019	PCTE	0,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
14	Aranda	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
14	Aranda	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
14	Aranda	2019	UDT	0,0	UNIÓN DE TODOS
15	Ribera Alta del Ebro	2019	PSOE	5388,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
15	Ribera Alta del Ebro	2019	PP	2800,0	PARTIDO POPULAR
15	Ribera Alta del Ebro	2019	VOX	2581,0	VOX
15	Ribera Alta del Ebro	2019	PODEMOS-IU	1483,0	UNIDAS PODEMOS
15	Ribera Alta del Ebro	2019	Cs	994,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
15	Ribera Alta del Ebro	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
15	Ribera Alta del Ebro	2019	M PAÍS-CHA-EQUO	431,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
15	Ribera Alta del Ebro	2019	PACMA	102,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
15	Ribera Alta del Ebro	2019	EB	34,0	ESCAÑOS EN BLANCO
15	Ribera Alta del Ebro	2019	CHA	0,0	CHUNTA ARAGONESISTA
15	Ribera Alta del Ebro	2019	MAS	21,0	MOVIMIENTO ARAGONES SOCIAL
15	Ribera Alta del Ebro	2019	RECORTES CERO-GV	17,0	RECORTES CERO-GRUPO VERDE
15	Ribera Alta del Ebro	2019	PUM+J	9,0	POR UN MUNDO MÁS JUSTO
15	Ribera Alta del Ebro	2019	PCPE	12,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
15	Ribera Alta del Ebro	2019	FIA	6,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
15	Ribera Alta del Ebro	2019	PCTE	5,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
15	Ribera Alta del Ebro	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
15	Ribera Alta del Ebro	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
15	Ribera Alta del Ebro	2019	UDT	0,0	UNIÓN DE TODOS
